abandon	əˈbændən
modulation	ˌmɒdjuˈleɪʃn
modular	ˈmɒdjələ(r)
module	ˈmɒdjuːl
mohair	ˈməʊheə(r)
mogul	ˈməʊɡl
moire	mwɑː(r)
moist	mɔɪst
moistness	mɔɪstnəs
moisten	ˈmɔɪsn
moisturize	ˈmɔɪstʃəraɪz
moisture	ˈmɔɪstʃə(r)
moisturizer	ˈmɔɪstʃəraɪze(r)
molar	ˈməʊlə(r)
mold	məʊld
molder	ˈməʊldə(r)
molasses	məˈlæsɪz
moldy	ˈməʊldi
molding	ˈməʊldɪŋ
molehill	ˈməʊlhɪl
moleskin	ˈməʊlskɪn
molest	məˈlest
molestation	ˌmɒleˈsteɪʃn
molester	məˈlestə(r)
mole	məʊl
molecule	ˈmɒlɪkjuːl
molecular	məˈlekjələ(r)
moll	mɒl
mollycoddle	ˈmɒlikɒdl
mollusc	ˈmɒləsk
molten	ˈməʊltən
molybdenum	məˈlɪbdənəm
molt	məʊlt
mom	mɒm
momentarily	ˈməʊməntrəli
momentous	məˈmentəs
momentum	məˈmentəm
momma	ˈmɒmə
momentary	ˈməʊməntri
monad	ˈmɒnæd
monasticism	məˈnæstɪsɪzəm
monarch	ˈmɒnək
monarchical	məˈnɑːkɪkl
monastic	məˈnæstɪk
monarchist	ˈmɒnəkɪst
moment	ˈməʊmənt
monetarism	ˈmʌnɪtərɪzəm
monetarist	ˈmʌnɪtərɪst
moneyed	ˈmʌnid
moneylender	ˈmʌnilendə(r)
moneymaker	ˈmʌnimeɪkə(r)
moneymaking	ˈmʌnimeɪkɪŋ
moneymaking	ˈmʌnimeɪkɪŋ
monetary	ˈmʌnɪtri
mongol	ˈmɒŋɡl
mongrel	ˈmʌŋɡrəl
moniker	ˈmɒnɪkə(r)
mongoose	ˈmɒŋɡuːs
mongooses	ˈmɒŋɡuːsɪz
monitor	ˈmɒnɪtə(r)
monk	mʌŋk
money	ˈmʌni
monism	ˈmɒnɪzəm
mono	ˈmɒnəʊ
monkish	ˈmʌŋkɪʃ
monochrome	ˈmɒnəkrəʊm
monochromatic	ˌmɒnəkrəˈmætɪk
monocle	ˈmɒnəkl
monocotyledon	ˌmɒnəʊˌkɒtɪˈliːdn
monkey	ˈmʌŋki
monodrama	ˈmɒnədrɑːmə
monoculture	ˈmɒnəkʌltʃə(r)
monocyte	ˈmɒnəsaɪt
monogamy	məˈnɒɡəmi
monogamous	məˈnɒɡəməs
monoglot	ˈmɒnəɡlɒt
monolingual	ˌmɒnəˈlɪŋɡwəl
monograph	ˈmɒnəɡrɑːf
monomania	ˌmɒnəˈmeɪniə
monolith	ˈmɒnəlɪθ
monolithic	ˌmɒnəˈlɪθɪk
monophonic	ˌmɒnəˈfɒnɪk
monologue	ˈmɒnəlɒɡ
mononucleosis	ˌmɒnəʊˌnjuːkliˈəʊsɪs
monopolize	məˈnɒpəlaɪz
monopolization	məˌnɒpəlaɪˈzeɪʃn
monopolist	məˈnɒpəlɪst
monophthong	ˈmɒnəfθɒŋ
monophthongal	ˌmɒnəfˈθɒŋl
monopolistic	məˌnɒpəˈlɪstɪk
monoplane	ˈmɒnəpleɪn
monorail	ˈmɒnəʊreɪl
monosyllabic	ˌmɒnəsɪˈlæbɪk
monosyllable	ˈmɒnəsɪləbl
monotheism	ˈmɒnəʊθiɪzəm
monotheist	ˈmɒnəʊθiɪst
monotheistic	ˌmɒnəʊθiˈɪstɪk
monotone	ˈmɒnətəʊn
monotonous	məˈnɒtənəs
monotonously	məˈnɒtənəsli
monotreme	ˈmɒnətriːm
monsignor	mɒnˈsiːnjə(r)
monotype	ˈmɒnətaɪp
monotony	məˈnɒtəni
monstrous	ˈmɒnstrəs
monstrously	ˈmɒnstrəsli
montane	ˈmɒnteɪn
monthly	ˈmʌnθli
monsoon	ˌmɒnˈsuːn
monster	ˈmɒnstə(r)
montage	ˌmɒnˈtɑːʒ
monumentally	ˌmɒnjuˈmentəli
monument	ˈmɒnjumənt
moon	muːn
moonbeam	ˈmuːnbiːm
monumental	ˌmɒnjuˈmentl
mooch	muːtʃ
month	mʌnθ
moonless	ˈmuːnləs
moonlight	ˈmuːnlaɪt
moonlit	ˈmuːnlɪt
moonscape	ˈmuːnskeɪp
mood	muːd
moonwalk	ˈmuːnwɔːk
moonstone	ˈmuːnstəʊn
moonstruck	ˈmuːnstrʌk
moorhen	ˈmɔːhen
mop	mɒp
moot	muːt
moped	ˈməʊped
moorland	ˈmɔːlənd
mooring	ˈmɔːrɪŋ
mope	məʊp
moral	ˈmɒrəl
moppet	ˈmɒpɪt
moraine	məˈreɪn
mor	ˌem əʊ ˈɑː(r)
morale	məˈrɑːl
moquette	mɒˈket
moralize	ˈmɒrəlaɪz
moralistic	ˌmɒrəˈlɪstɪk
moralist	ˈmɒrəlɪst
moray	mɒˈreɪ
moratorium	ˌmɒrəˈtɔːriəm
moratoriums	ˌmɒrəˈtɔːriə
moratoria	ˌmɒrəˈtɔːriə
morbid	ˈmɔːbɪd
morbidity	mɔːˈbɪdəti
morbidly	ˈmɔːbɪdli
morass	məˈræs
more	mɔː(r)
morel	məˈrel
mordent	ˈmɔːdənt
moribund	ˈmɒrɪbʌnd
morgue	mɔːɡ
mordant	ˈmɔːdnt
mordantly	ˈmɔːdntli
morocco	məˈrɒkəʊ
moreover	mɔːrˈəʊvə(r)
morn	mɔːn
morning	ˈmɔːnɪŋ
morally	ˈmɒrəli
morganatic	ˌmɔːɡəˈnætɪk
mores	ˈmɔːreɪz
moron	ˈmɔːrɒn
moronic	məˈrɒnɪk
morphine	ˈmɔːfiːn
morpheme	ˈmɔːfiːm
morose	məˈrəʊs
morosely	məˈrəʊsli
morph	mɔːf
mortal	ˈmɔːtl
mortally	ˈmɔːtəli
mortgage	ˈmɔːɡɪdʒ
mortar	ˈmɔːtə(r)
morsel	ˈmɔːsl
morphology	mɔːˈfɒlədʒi
morphological	ˌmɔːfəˈlɒdʒɪkl
morrow	ˈmɒrəʊ
mortician	mɔːˈtɪʃn
mortgagor	ˈmɔːɡɪdʒɔː(r)
mortgagee	ˌmɔːɡɪˈdʒiː
mortise	ˈmɔːtɪs
mosaic	məʊˈzeɪɪk
mosque	mɒsk
mosey	ˈməʊzi
mote	məʊt
mot	ˌem əʊ ˈtiː
motel	məʊˈtel
mother	ˈmʌðə(r)
mostly	ˈməʊstli
mothball	ˈmɒθbɔːl
motet	məʊˈtet
moss	mɒs
motherfucker	ˈmʌðəfʌkə(r)
motherless	ˈmʌðələs
mossy	ˈmɒsi
moth	mɒθ
motherly	ˈmʌðəli
motherhood	ˈmʌðəhʊd
motherland	ˈmʌðəlænd
motherboard	ˈmʌðəbɔːd
motif	məʊˈtiːf
mothering	ˈmʌðərɪŋ
motionless	ˈməʊʃnləs
motion	ˈməʊʃn
most	məʊst
motocross	ˈməʊtəʊkrɒs
motoneuron	ˌməʊtəˈnjʊərɒn
motley	ˈmɒtli
motorbike	ˈməʊtəbaɪk
motorboat	ˈməʊtəbəʊt
motorcyclist	ˈməʊtəsaɪklɪst
motorcycling	ˈməʊtəsaɪklɪŋ
motorcade	ˈməʊtəkeɪd
motor	ˈməʊtə(r)
motorized	ˈməʊtəraɪzd
motte	mɒt
motoring	ˈməʊtərɪŋ
motormouth	ˈməʊtəmaʊθ
motormouths	ˈməʊtəmaʊðz
mottled	ˈmɒtld
mouflon	ˈmuːflɒn
motorist	ˈməʊtərɪst
moulding	ˈməʊldɪŋ
mouldy	ˈməʊldi
motorcycle	ˈməʊtəsaɪkl
motorway	ˈməʊtəweɪ
moulder	ˈməʊldə(r)
mound	maʊnd
mould	məʊld
mountaineering	ˌmaʊntəˈnɪərɪŋ
mountain	ˈmaʊntən
mountainous	ˈmaʊntənəs
mounting	ˈmaʊntɪŋ
mounted	ˈmaʊntɪd
mourn	mɔːn
mourner	ˈmɔːnə(r)
moult	məʊlt
mountaineer	ˌmaʊntəˈnɪə(r)
mountaintop	ˈmaʊntəntɒp
mouser	ˈmaʊsə(r)
mountebank	ˈmaʊntɪbæŋk
mountainside	ˈmaʊntənsaɪd
mount	maʊnt
mourning	ˈmɔːnɪŋ
mournful	ˈmɔːnfl
mournfully	ˈmɔːnfəli
moussaka	muːˈsɑːkə
mousetrap	ˈmaʊstræp
moustache	məˈstɑːʃ
mousy	ˈmaʊsi
mouthy	ˈmaʊθi
movable	ˈmuːvəbl
mousse	muːs
mouthwash	ˈmaʊθwɒʃ
mover	ˈmuːvə(r)
mouthful	ˈmaʊθfʊl
mouthpiece	ˈmaʊθpiːs
movie	ˈmuːvi
movement	ˈmuːvmənt
mower	ˈməʊə(r)
moxie	ˈmɒksi
mozzarella	ˌmɒtsəˈrelə
moviegoer	ˈmuːviɡəʊə(r)
mu	mjuː
muchness	ˈmʌtʃnəs
mouth	maʊθ
mouths	maʊðz
mow	məʊ
mowed	məʊn
mown	məʊn
mowed	məʊn
mucker	ˈmʌkə(r)
muck	mʌk
mucky	ˈmʌki
muckraking	ˈmʌkreɪkɪŋ
move	muːv
moving	ˈmuːvɪŋ
movingly	ˈmuːvɪŋli
mud	mʌd
mucus	ˈmjuːkəs
mucous	ˈmjuːkəs
muddle	ˈmʌdl
muddled	ˈmʌdld
mudguard	ˈmʌdɡɑːd
much	mʌtʃ
mudflat	ˈmʌdflæt
muddling	ˈmʌdlɪŋ
mudskipper	ˈmʌdskɪpə(r)
muff	mʌf
muffin	ˈmʌfɪn
muesli	ˈmjuːzli
muffled	ˈmʌfld
muffle	ˈmʌfl
mudslide	ˈmʌdslaɪd
muffler	ˈmʌflə(r)
muezzin	muːˈezɪn
mugger	ˈmʌɡə(r)
mufti	ˈmʌfti
mug	mʌɡ
mugging	ˈmʌɡɪŋ
muggy	ˈmʌɡi
mujahideen	ˌmuːdʒəhəˈdiːn
mugwump	ˈmʌɡwʌmp
mulch	mʌltʃ
muggins	ˈmʌɡɪnz
mule	mjuːl
mukluk	ˈmʌklʌk
mulish	ˈmjuːlɪʃ
muleteer	ˌmjuːləˈtɪə(r)
mulled	mʌld
mullah	ˈmʌlə
mullion	ˈmʌliən
mullioned	ˈmʌliənd
mull	mʌl
multichannel	ˈmʌltitʃænl
multiculturalism	ˌmʌltiˌkʌltʃərəlɪzəm
mulligatawny	ˌmʌlɪɡəˈtɔːni
multidisciplinary	ˌmʌltidɪsəˈplɪnəri
multicultural	ˌmʌltiˈkʌltʃərəl
multifaceted	ˌmʌltiˈfæsɪtɪd
multifarious	ˌmʌltɪˈfeəriəs
multidimensional	ˌmʌltidaɪˈmenʃənl
multigrain	ˈmʌltiɡreɪn
multimedia	ˌmʌltiˈmiːdiə
multifunctional	ˌmʌltiˈfʌŋkʃənl
multigrade	ˈmʌltiɡreɪd
multinational	ˌmʌltiˈnæʃnəl
multilingual	ˌmʌltiˈlɪŋɡwəl
multilateral	ˌmʌltiˈlætərəl
multimillionaire	ˌmʌltimɪljəˈneə(r)
multilateralism	ˌmʌltiˈlætərəlɪzəm
multiparty	ˌmʌltiˈpɑːti
multiplex	ˈmʌltɪpleks
multiple	ˈmʌltɪpl
multiplication	ˌmʌltɪplɪˈkeɪʃn
multiprocessor	ˌmʌltiˈprəʊsesə(r)
multiplicity	ˌmʌltɪˈplɪsəti
multiplier	ˈmʌltɪplaɪə(r)
multitrack	ˈmʌltitræk
multitude	ˈmʌltɪtjuːd
multivitamin	ˌmʌltiˈvɪtəmɪn
multiracial	ˌmʌltiˈreɪʃl
mumble	ˈmʌmbl
multitudinous	ˌmʌltɪˈtjuːdɪnəs
multitasking	ˌmʌltiˈtɑːskɪŋ
mum	mʌm
mumps	mʌmps
munchies	ˈmʌntʃɪz
mundane	mʌnˈdeɪn
mummer	ˈmʌmə(r)
municipal	mjuːˈnɪsɪpl
munch	mʌntʃ
muntjac	ˈmʌntdʒæk
murder	ˈmɜːdə(r)
munitions	mjuːˈnɪʃnz
munition	mjuːˈnɪʃn
mural	ˈmjʊərəl
munificent	mjuːˈnɪfɪsnt
munificence	mjuːˈnɪfɪsns
murderous	ˈmɜːdərəs
murderously	ˈmɜːdərəsli
murderer	ˈmɜːdərə(r)
murmur	ˈmɜːmə(r)
murderess	ˈmɜːdəres
murk	mɜːk
muscat	ˈmʌskæt
muse	mjuːz
muscadet	ˈmʌskədeɪ
muscatel	ˌmʌskəˈtel
muscular	ˈmʌskjələ(r)
musculature	ˈmʌskjələtʃə(r)
musher	ˈmʌʃə(r)
mush	mʌʃ
musical	ˈmjuːzɪkl
musicality	ˌmjuːzɪˈkæləti
musicianship	mjuˈzɪʃnʃɪp
musket	ˈmʌskɪt
musician	mjuˈzɪʃn
musically	ˈmjuːzɪkli
musketry	ˈmʌskɪtri
musketeer	ˌmʌskəˈtɪə(r)
musicology	ˌmjuːzɪˈkɒlədʒi
musicologist	ˌmjuːzɪˈkɒlədʒɪst
mushroom	ˈmʌʃrʊm
museum	mjuˈziːəm
muskrat	ˈmʌskræt
muss	mʌs
mustached	məˈstɑːʃt
mustachioed	məˈstæʃiəʊd
mustard	ˈmʌstəd
muslin	ˈmʌzlɪn
musing	ˈmjuːzɪŋ
music	ˈmjuːzɪk
mustang	ˈmʌstæŋ
musquash	ˈmʌskwɒʃ
mussel	ˈmʌsl
mutant	ˈmjuːtənt
muster	ˈmʌstə(r)
mute	mjuːt
mustache	məˈstɑːʃ
mutate	mjuːˈteɪt
mutation	mjuːˈteɪʃn
muted	ˈmjuːtɪd
mutilate	ˈmjuːtɪleɪt
mutilation	ˌmjuːtɪˈleɪʃn
mutely	ˈmjuːtli
mutable	ˈmjuːtəbl
mutability	ˌmjuːtəˈbɪləti
mutter	ˈmʌtə(r)
must	məst
must not	ˈmʌsnt
mustn't	ˈmʌsnt
mutinous	ˈmjuːtənəs
mutinously	ˈmjuːtənəsli
mutineer	ˌmjuːtəˈnɪə(r)
mutton	ˈmʌtn
mutism	ˈmjuːtɪzəm
muttering	ˈmʌtərɪŋ
mutually	ˈmjuːtʃuəli
mutt	mʌt
mutual	ˈmjuːtʃuəl
mutuality	ˌmjuːtʃuˈæləti
muzzle	ˈmʌzl
muzzy	ˈmʌzi
my	maɪ
myalgia	maɪˈældʒə
myalgic	maɪˈældʒɪk
mycology	maɪˈkɒlədʒi
myelin	ˈmaɪəlɪn
myeloma	ˌmaɪəˈləʊmə
myelomas	ˌmaɪəˈləʊmətə
myelomata	ˌmaɪəˈləʊmətə
mynah	ˈmaɪnə
myriad	ˈmɪriəd
myopia	maɪˈəʊpiə
myopic	maɪˈɒpɪk
myopically	maɪˈɒpɪkli
myrrh	mɜː(r)
mysterious	mɪˈstɪəriəs
mysteriously	mɪˈstɪəriəsli
mysteriousness	mɪˈstɪəriəsnəs
myth	mɪθ
mythical	ˈmɪθɪkl
myself	maɪˈself
myrtle	ˈmɜːtl
mystique	mɪˈstiːk
mystic	ˈmɪstɪk
mythography	mɪˈθɒɡrəfi
mystical	ˈmɪstɪkl
mystically	ˈmɪstɪkli
mythological	ˌmɪθəˈlɒdʒɪkl
myxomatosis	ˌmɪksəməˈtəʊsɪs
nabob	ˈneɪbɒb
nae	neɪ
nah	nɑː
naiad	ˈnaɪæd
naiads	ˈnaɪædiːz
naiades	ˈnaɪædiːz
nail	neɪl
nachos	ˈnætʃəʊz
nagana	nəˈɡɑːnə
nada	ˈnɑːdə
name	neɪm
nagging	ˈnæɡɪŋ
nadir	ˈneɪdɪə(r)
nameplate	ˈneɪmpleɪt
nameless	ˈneɪmləs
nanotechnology	ˌnænəʊtekˈnɒlədʒi
nanotechnologist	ˌnænəʊtekˈnɒlədʒɪst
nanotechnological	ˌnænəʊˌteknəˈlɒdʒɪkl
namesake	ˈneɪmseɪk
nanosecond	ˈnænəʊsekənd
namely	ˈneɪmli
nana	ˈnænə
napalm	ˈneɪpɑːm
nan	næn
naphtha	ˈnæfθə
nap	næp
nappe	næp
naphthalene	ˈnæfθəliːn
nape	neɪp
napkin	ˈnæpkɪn
naked	ˈneɪkɪd
nakedly	ˈneɪkɪdli
nakedness	ˈneɪkɪdnəs
narcotic	nɑːˈkɒtɪk
narcissism	ˈnɑːsɪsɪzəm
narcissistic	ˌnɑːsɪˈsɪstɪk
narcolepsy	ˈnɑːkəʊlepsi
narc	nɑːk
narcissus	nɑːˈsɪsəs
narcissi	nɑːˈsɪsaɪ
nark	nɑːk
narked	nɑːkt
narcosis	nɑːˈkəʊsɪs
narration	nəˈreɪʃn
narrate	nəˈreɪt
narrator	nəˈreɪtə(r)
narrowly	ˈnærəʊli
narwhal	ˈnɑːwəl
narrative	ˈnærətɪv
narrows	ˈnærəʊz
nary	ˈneəri
nasalize	ˈneɪzlaɪz
nasalization	ˌneɪzlaɪˈzeɪʃn
narrowband	ˈnærəʊbænd
nascent	ˈnæsnt
nasal	ˈneɪzl
nasturtium	nəˈstɜːʃəm
nationalism	ˈnæʃnəlɪzəm
nationalistic	ˌnæʃnəˈlɪstɪk
native	ˈneɪtɪv
nationalize	ˈnæʃnəlaɪz
nationalization	ˌnæʃnəlaɪˈzeɪʃn
natality	nəˈtælɪti
natch	nætʃ
nationwide	ˌneɪʃnˈwaɪd
nativity	nəˈtɪvəti
nationalist	ˈnæʃnəlɪst
natal	ˈneɪtl
nationally	ˈnæʃnəli
natural	ˈnætʃrəl
national	ˈnæʃnəl
nation	ˈneɪʃn
nationhood	ˈneɪʃnhʊd
naturalistic	ˌnætʃrəˈlɪstɪk
natter	ˈnætə(r)
naturalize	ˈnætʃrəlaɪz
naturalization	ˌnætʃrəlaɪˈzeɪʃn
naturalist	ˈnætʃrəlɪst
naturism	ˈneɪtʃərɪzəm
naturopathy	ˌneɪtʃəˈrɒpəθi
naturopath	ˈneɪtʃərəpæθ
naturopathic	ˌneɪtʃərəˈpæθik
nausea	ˈnɔːziə
nature	ˈneɪtʃə(r)
nauseous	ˈnɔːziəs
naturist	ˈneɪtʃərɪst
naturalism	ˈnætʃrəlɪzəm
naturalness	ˈnætʃrəlnəs
navel	ˈneɪvl
nautilus	ˈnɔːtɪləs
nautical	ˈnɔːtɪkl
navigable	ˈnævɪɡəbl
navigability	ˌnævɪɡəˈbɪləti
navigate	ˈnævɪɡeɪt
navigation	ˌnævɪˈɡeɪʃn
navigational	ˌnævɪˈɡeɪʃənl
nawab	nəˈwɑːb
nearby	ˌnɪəˈbaɪ
nave	neɪv
naval	ˈneɪvl
naturally	ˈnætʃrəli
navigator	ˈnævɪɡeɪtə(r)
naw	nɔː
nay	neɪ
nebula	ˈnebjələ
nebulae	ˈnebjəliː
nearly	ˈnɪəli
necessitate	nəˈsesɪteɪt
necessaries	ˈnesəsəriz
neaten	ˈniːtn
nazi	ˈnɑːtsi
Nazism	ˈnɑːtsɪzəm
nearsighted	ˌnɪəˈsaɪtɪd
nearsightedness	ˌnɪəˈsaɪtɪdnəs
nebbish	ˈnebɪʃ
necklace	ˈnekləs
necessarily	ˌnesəˈserəli
necessity	nəˈsesəti
neckline	ˈneklaɪn
neckwear	ˈnekweə(r)
neckerchief	ˈnekətʃiːf
necromancer	ˈnekrəʊmænsə(r)
necromancy	ˈnekrəʊmænsi
necktie	ˈnektaɪ
necessary	ˈnesəsəri
nectar	ˈnektə(r)
nectarine	ˈnektəriːn
necropolis	nəˈkrɒpəlɪs
necropolises	nəˈkrɒpəlɪsɪz
needlework	ˈniːdlwɜːk
necrosis	neˈkrəʊsɪs
nee	neɪ
neck	nek
needful	ˈniːdfl
needlepoint	ˈniːdlpɔɪnt
needless	ˈniːdləs
needlessly	ˈniːdləsli
needlewoman	ˈniːdlwʊmən
needlewomen	ˈniːdlwɪmɪn
nefarious	nɪˈfeəriəs
neglect	nɪˈɡlekt
negation	nɪˈɡeɪʃn
negate	nɪˈɡeɪt
needle	ˈniːdl
negativity	ˌneɡəˈtɪvəti
needs	niːdz
neep	niːp
neglected	nɪˈɡlektɪd
neglectful	nɪˈɡlektfl
negligee	ˈneɡlɪʒeɪ
need	niːd
negator	nɪˈɡeɪtə(r)
negative	ˈneɡətɪv
negatively	ˈneɡətɪvli
negligible	ˈneɡlɪdʒəbl
negligence	ˈneɡlɪdʒəns
negotiable	nɪˈɡəʊʃiəbl
negligent	ˈneɡlɪdʒənt
negligently	ˈneɡlɪdʒəntli
negritude	ˈneɡrɪtjuːd
neigh	neɪ
negotiator	nɪˈɡəʊʃieɪtə(r)
negotiate	nɪˈɡəʊʃieɪt
negotiation	nɪˌɡəʊʃiˈeɪʃn
neither	ˈnaɪðə(r)
neighbour	ˈneɪbə(r)
neighbouring	ˈneɪbərɪŋ
nelson	ˈnelsn
nematode	ˈnemətəʊd
neocolonialism	ˌniːəʊkəˈləʊniəlɪzəm
neoclassical	ˌniːəʊˈklæsɪkl
nemesis	ˈneməsɪs
neocortex	ˌniːəʊˈkɔːteks
neodymium	ˌniːəʊˈdɪmiəm
neologism	niˈɒlədʒɪzəm
neoliberal	ˌniːəʊˈlɪbərəl
neon	ˈniːɒn
neolithic	ˌniːəˈlɪθɪk
neoconservative	ˌniːəʊkənˈsɜːvətɪv
neonate	ˈniːəʊneɪt
neonatal	ˌniːəʊˈneɪtl
neoprene	ˈniːəpriːn
neophyte	ˈniːəfaɪt
neoplasticism	ˌniːəʊˈplæstɪsɪzəm
neoplastic	ˌniːəʊˈplæstɪk
nephew	ˈnefjuː
neptunium	nepˈtjuːniəm
nepotism	ˈnepətɪzəm
nerveless	ˈnɜːvləs
nerve	nɜːv
nervy	ˈnɜːvi
nestling	ˈnestlɪŋ
nether	ˈneðə(r)
net	net
netherworld	ˈneðəwɜːld
nest	nest
nervous	ˈnɜːvəs
nervously	ˈnɜːvəsli
nervousness	ˈnɜːvəsnəs
nettlesome	ˈnetlsəm
neural	ˈnjʊərəl
neurasthenia	ˌnjʊərəsˈθiːniə
neuralgia	njʊəˈrældʒə
neuralgic	njʊəˈrældʒɪk
netting	ˈnetɪŋ
nettle	ˈnetl
networking	ˈnetwɜːkɪŋ
network	ˈnetwɜːk
neurologist	njʊəˈrɒlədʒɪst
neurological	ˌnjʊərəˈlɒdʒɪkl
neurology	njʊəˈrɒlədʒi
neurophysiology	ˌnjʊərəʊfɪziˈɒlədʒi
neurotic	njʊəˈrɒtɪk
neurotically	njʊəˈrɒtɪkli
neurosurgery	ˈnjʊərəʊsɜːdʒəri
neuter	ˈnjuːtə(r)
neuroscience	ˈnjʊərəʊsaɪəns
neuroscientist	ˈnjʊərəʊsaɪəntɪst
neurotoxin	ˌnjʊərəʊˈtɒksɪn
neutral	ˈnjuːtrəl
neutrally	ˈnjuːtrəli
neutralist	ˈnjuːtrəlɪst
neutrality	njuːˈtræləti
neutron	ˈnjuːtrɒn
newborn	ˈnjuːbɔːn
nevermore	ˌnevəˈmɔː(r)
neurotransmitter	ˈnjʊərəʊtrænzmɪtə(r)
newly	ˈnjuːli
neurosis	njʊəˈrəʊsɪs
neuroses	njʊəˈrəʊsiːz
neutralize	ˈnjuːtrəlaɪz
neutralization	ˌnjuːtrəlaɪˈzeɪʃn
newcomer	ˈnjuːkʌmə(r)
nevertheless	ˌnevəðəˈles
newscaster	ˈnjuːzkɑːstə(r)
newfangled	ˌnjuːˈfæŋɡld
newsdealer	ˈnjuːzdiːlə(r)
newspeak	ˈnjuːspiːk
newsreel	ˈnjuːzriːl
newsreader	ˈnjuːzriːdə(r)
next	nekst
newsman	ˈnjuːzmæn
newsmen	ˈnjuːzmen
newswomen	ˈnjuːzmen
newsworthy	ˈnjuːzwɜːði
news	njuːz
newscast	ˈnjuːzkɑːst
newspaper	ˈnjuːzpeɪpə(r)
newsletter	ˈnjuːzletə(r)
newt	njuːt
nibble	ˈnɪbl
never	ˈnevə(r)
newsprint	ˈnjuːzprɪnt
newsy	ˈnjuːzi
newspaperman	ˈnjuːzpeɪpəmæn
newspapermen	ˈnjuːzpeɪpəmen
newspaperwomen	ˈnjuːzpeɪpəmen
nexus	ˈneksəs
newsroom	ˈnjuːzruːm
nibs	nɪbz
niacin	ˈnaɪəsɪn
nib	nɪb
newton	ˈnjuːtən
nicely	ˈnaɪsli
niche	niːʃ
nickname	ˈnɪkneɪm
nickel	ˈnɪkl
nick	nɪk
nicotine	ˈnɪkətiːn
niggle	ˈnɪɡl
niece	niːs
nifty	ˈnɪfti
niggling	ˈnɪɡlɪŋ
niggardly	ˈnɪɡədli
nigger	ˈnɪɡə(r)
nigh	naɪ
nightclothes	ˈnaɪtkləʊðz
nightgown	ˈnaɪtɡaʊn
nightingale	ˈnaɪtɪŋɡeɪl
nightjar	ˈnaɪtdʒɑː(r)
nightcap	ˈnaɪtkæp
nightmare	ˈnaɪtmeə(r)
nightmarish	ˈnaɪtmeərɪʃ
nightstand	ˈnaɪtstænd
nightshirt	ˈnaɪtʃɜːt
nightfall	ˈnaɪtfɔːl
nightclub	ˈnaɪtklʌb
nightie	ˈnaɪti
nightdress	ˈnaɪtdres
nightstick	ˈnaɪtstɪk
nightlife	ˈnaɪtlaɪf
nightly	ˈnaɪtli
nihilist	ˈnaɪɪlɪst
nil	nɪl
nightspot	ˈnaɪtspɒt
nimbostratus	ˌnɪmbəʊˈstrɑːtəs
nimble	ˈnɪmbl
nimbly	ˈnɪmbli
nimbler	ˈnɪmblə(r)
nimblest	ˈnɪmblə(r)
nimbus	ˈnɪmbəs
nihilism	ˈnaɪɪlɪzəm
nihilistic	ˌnaɪɪˈlɪstɪk
nim	nɪm
nincompoop	ˈnɪŋkəmpuːp
ninth	naɪnθ
ninepins	ˈnaɪnpɪnz
nineteen	ˌnaɪnˈtiːn
nineteenth	ˌnaɪnˈtiːnθ
ninety	ˈnaɪnti
ninetieth	ˈnaɪntiəθ
nipper	ˈnɪpə(r)
nirvana	nɪəˈvɑːnə
niobium	naɪˈəʊbiəm
nippy	ˈnɪpi
nit	nɪt
nipple	ˈnɪpl
nine	naɪn
nitrate	ˈnaɪtreɪt
nitrite	ˈnaɪtraɪt
nitrogen	ˈnaɪtrədʒən
nitrogenous	naɪˈtrɒdʒənəs
nitwit	ˈnɪtwɪt
nix	nɪks
nitroglycerine	ˌnaɪtrəʊˈɡlɪsəriːn
noble	ˈnəʊbl
nobly	ˈnəʊbli
nobler	ˈnəʊblə(r)
noblest	ˈnəʊblə(r)
nobelium	nəʊˈbiːliəm
nob	nɒb
nobility	nəʊˈbɪləti
nobody	ˈnəʊbədi
nobleman	ˈnəʊblmən
noblemen	ˈnəʊblmən
noblewomen	ˈnəʊblmən
nocturnal	nɒkˈtɜːnl
nocturne	ˈnɒktɜːn
noddle	ˈnɒdl
noel	nəʊˈel
nodule	ˈnɒdjuːl
noise	nɔɪz
noh	nəʊ
noisome	ˈnɔɪsəm
nomad	ˈnəʊmæd
nomadic	nəʊˈmædɪk
noiseless	ˈnɔɪzləs
noiselessly	ˈnɔɪzləsli
nominal	ˈnɒmɪnl
nominally	ˈnɒmɪnəli
nomination	ˌnɒmɪˈneɪʃn
nominee	ˌnɒmɪˈniː
nomenclature	nəˈmenklətʃə(r)
nominative	ˈnɒmɪnətɪv
nominate	ˈnɒmɪneɪt
nonagenarian	ˌnɒnədʒəˈneəriən
nonagon	ˈnɒnəɡən
nonce	nɒns
nonchalant	ˈnɒnʃələnt
nonchalance	ˈnɒnʃələns
nonchalantly	ˈnɒnʃələntli
nonconformity	ˌnɒnkənˈfɔːmɪti
nondescript	ˈnɒndɪskrɪpt
none	nʌn
nonet	nəʊˈnet
nonetheless	ˌnʌnðəˈles
nonpareil	ˌnɒnpəˈreɪl
nonplussed	ˌnɒnˈplʌst
nonsensical	nɒnˈsensɪkl
nonsense	ˈnɒnsns
noonday	ˈnuːndeɪ
noodle	ˈnuːdl
noon	nuːn
noose	nuːs
nope	nəʊp
noontide	ˈnuːntaɪd
nooky	ˈnʊki
nordic	ˈnɔːdɪk
norm	nɔːm
nook	nʊk
nor	nɔː(r)
