a	eɪ
monologue	ˈmɒnəlɒɡ
monoglot	ˈmɒnəɡlɒt
monolith	ˈmɒnəlɪθ
monolithic	ˌmɒnəˈlɪθɪk
monoplane	ˈmɒnəpleɪn
monophthong	ˈmɒnəfθɒŋ
monophthongal	ˌmɒnəfˈθɒŋl
monopolist	məˈnɒpəlɪst
monopolize	məˈnɒpəlaɪz
monopolization	məˌnɒpəlaɪˈzeɪʃn
monoski	ˈmɒnəskiː
monoskiing	ˈmɒnəskiːɪŋ
monopolistic	məˌnɒpəˈlɪstɪk
monosyllable	ˈmɒnəsɪləbl
monophonic	ˌmɒnəˈfɒnɪk
mononucleosis	ˌmɒnəʊˌnjuːkliˈəʊsɪs
monotheism	ˈmɒnəʊθiɪzəm
monotheist	ˈmɒnəʊθiɪst
monotony	məˈnɒtəni
monopoly	məˈnɒpəli
monotreme	ˈmɒnətriːm
monster	ˈmɒnstə(r)
montage	ˌmɒnˈtɑːʒ
monstrosity	mɒnˈstrɒsəti
monorail	ˈmɒnəʊreɪl
monotype	ˈmɒnətaɪp
monsoon	ˌmɒnˈsuːn
montane	ˈmɒnteɪn
monosyllabic	ˌmɒnəsɪˈlæbɪk
monthly	ˈmʌnθli
month	mʌnθ
moo	muː
mood	muːd
moody	ˈmuːdi
moodily	ˈmuːdɪli
moon	muːn
monumental	ˌmɒnjuˈmentl
monotonous	məˈnɒtənəs
monotonously	məˈnɒtənəsli
moonless	ˈmuːnləs
monument	ˈmɒnjumənt
monotone	ˈmɒnətəʊn
mooch	muːtʃ
monstrous	ˈmɒnstrəs
monstrously	ˈmɒnstrəsli
monumentally	ˌmɒnjuˈmentəli
moonlit	ˈmuːnlɪt
moonscape	ˈmuːnskeɪp
moonstruck	ˈmuːnstrʌk
moor	mɔː(r)
moorhen	ˈmɔːhen
moot	muːt
moonwalk	ˈmuːnwɔːk
moonbeam	ˈmuːnbiːm
moonlight	ˈmuːnlaɪt
moorland	ˈmɔːlənd
mooli	ˈmuːli
mop	mɒp
mope	məʊp
moonshine	ˈmuːnʃaɪn
moonstone	ˈmuːnstəʊn
moralistic	ˌmɒrəˈlɪstɪk
moral	ˈmɒrəl
moralize	ˈmɒrəlaɪz
morality	məˈræləti
moped	ˈməʊped
moquette	mɒˈket
mor	ˌem əʊ ˈɑː(r)
moppet	ˈmɒpɪt
morally	ˈmɒrəli
morale	məˈrɑːl
morass	məˈræs
moratorium	ˌmɒrəˈtɔːriəm
moratoria	ˌmɒrəˈtɔːriə
mordent	ˈmɔːdənt
mooring	ˈmɔːrɪŋ
moose	muːs
moreish	ˈmɔːrɪʃ
moreover	mɔːrˈəʊvə(r)
morganatic	ˌmɔːɡəˈnætɪk
morgue	mɔːɡ
moraine	məˈreɪn
mores	ˈmɔːreɪz
moray	mɒˈreɪ
moralist	ˈmɒrəlɪst
more	mɔː(r)
morn	mɔːn
morel	məˈrel
morbid	ˈmɔːbɪd
morbidity	mɔːˈbɪdəti
mordant	ˈmɔːdnt
mordantly	ˈmɔːdntli
morocco	məˈrɒkəʊ
mornay	ˈmɔːneɪ
moribund	ˈmɒrɪbʌnd
moron	ˈmɔːrɒn
moronic	məˈrɒnɪk
morose	məˈrəʊs
morosely	məˈrəʊsli
morphine	ˈmɔːfiːn
morphology	mɔːˈfɒlədʒi
morphological	ˌmɔːfəˈlɒdʒɪkl
morning	ˈmɔːnɪŋ
mortal	ˈmɔːtl
mortar	ˈmɔːtə(r)
morpheme	ˈmɔːfiːm
morsel	ˈmɔːsl
morrow	ˈmɒrəʊ
mortally	ˈmɔːtəli
morph	mɔːf
mortality	mɔːˈtæləti
mortgagor	ˈmɔːɡɪdʒɔː(r)
mortgage	ˈmɔːɡɪdʒ
mortgagee	ˌmɔːɡɪˈdʒiː
mortuary	ˈmɔːtʃəri
mosaic	məʊˈzeɪɪk
mortician	mɔːˈtɪʃn
mortise	ˈmɔːtɪs
mortify	ˈmɔːtɪfaɪ
mortification	ˌmɔːtɪfɪˈkeɪʃn
mosey	ˈməʊzi
mosque	mɒsk
mot	ˌem əʊ ˈtiː
moss	mɒs
most	məʊst
mote	məʊt
mossy	ˈmɒsi
motel	məʊˈtel
mosquito	məˈskiːtəʊ
moth	mɒθ
motherfucker	ˈmʌðəfʌkə(r)
mothering	ˈmʌðərɪŋ
motive	ˈməʊtɪv
motherly	ˈmʌðəli
motocross	ˈməʊtəʊkrɒs
motif	məʊˈtiːf
motherland	ˈmʌðəlænd
motor	ˈməʊtə(r)
motionless	ˈməʊʃnləs
motivate	ˈməʊtɪveɪt
motet	məʊˈtet
motley	ˈmɒtli
motherboard	ˈmʌðəbɔːd
motherhood	ˈmʌðəhʊd
motorized	ˈməʊtəraɪzd
motormouth	ˈməʊtəmaʊθ
motormouths	ˈməʊtəmaʊðz
mostly	ˈməʊstli
motion	ˈməʊʃn
motto	ˈmɒtəʊ
motherless	ˈmʌðələs
motorist	ˈməʊtərɪst
motorcade	ˈməʊtəkeɪd
motorcycling	ˈməʊtəsaɪklɪŋ
mother	ˈmʌðə(r)
motoring	ˈməʊtərɪŋ
motte	mɒt
mottled	ˈmɒtld
mould	məʊld
mouflon	ˈmuːflɒn
mouldy	ˈməʊldi
mount	maʊnt
mountain	ˈmaʊntən
mountainside	ˈmaʊntənsaɪd
motorway	ˈməʊtəweɪ
mounting	ˈmaʊntɪŋ
mounted	ˈmaʊntɪd
mountainous	ˈmaʊntənəs
moult	məʊlt
mountebank	ˈmaʊntɪbæŋk
mournful	ˈmɔːnfl
mournfully	ˈmɔːnfəli
moulding	ˈməʊldɪŋ
mourner	ˈmɔːnə(r)
mountie	ˈmaʊnti
mourn	mɔːn
mouse	maʊs
mice	maɪs
moulder	ˈməʊldə(r)
mountaineering	ˌmaʊntəˈnɪərɪŋ
moussaka	muːˈsɑːkə
mountaineer	ˌmaʊntəˈnɪə(r)
mound	maʊnd
motorcycle	ˈməʊtəsaɪkl
mouthpiece	ˈmaʊθpiːs
movable	ˈmuːvəbl
move	muːv
mousy	ˈmaʊsi
moustached	məˈstɑːʃt
moving	ˈmuːvɪŋ
movingly	ˈmuːvɪŋli
moviegoer	ˈmuːviɡəʊə(r)
mouthy	ˈmaʊθi
mourning	ˈmɔːnɪŋ
mouser	ˈmaʊsə(r)
mouthful	ˈmaʊθfʊl
mouthwash	ˈmaʊθwɒʃ
mower	ˈməʊə(r)
moxie	ˈmɒksi
mousse	muːs
mover	ˈmuːvə(r)
muck	mʌk
mozambican	ˌməʊzæmˈbiːkən
mu	mjuː
movie	ˈmuːvi
muchness	ˈmʌtʃnəs
mouth	maʊθ
mouths	maʊðz
movement	ˈmuːvmənt
mozzarella	ˌmɒtsəˈrelə
mozzie	ˈmɒzi
mucker	ˈmʌkə(r)
mucus	ˈmjuːkəs
mucous	ˈmjuːkəs
muddy	ˈmʌdi
mudslide	ˈmʌdslaɪd
muesli	ˈmjuːzli
mucky	ˈmʌki
mug	mʌɡ
mudflap	ˈmʌdflæp
muffle	ˈmʌfl
muddled	ˈmʌdld
muddle	ˈmʌdl
muff	mʌf
muddling	ˈmʌdlɪŋ
muezzin	muːˈezɪn
muffin	ˈmʌfɪn
mud	mʌd
mufti	ˈmʌfti
mugwump	ˈmʌɡwʌmp
muffled	ˈmʌfld
mugging	ˈmʌɡɪŋ
muggy	ˈmʌɡi
mulch	mʌltʃ
muggins	ˈmʌɡɪnz
much	mʌtʃ
muffler	ˈmʌflə(r)
mule	mjuːl
muleteer	ˌmjuːləˈtɪə(r)
mulled	mʌld
mulish	ˈmjuːlɪʃ
mukluk	ˈmʌklʌk
mullah	ˈmʌlə
mullet	ˈmʌlɪt
mulligatawny	ˌmʌlɪɡəˈtɔːni
mugger	ˈmʌɡə(r)
mull	mʌl
mulatto	mjuˈlætəʊ
mullion	ˈmʌliən
mullioned	ˈmʌliənd
multicoloured	ˌmʌltiˈkʌləd
multichannel	ˈmʌltitʃænl
multilateralism	ˌmʌltiˈlætərəlɪzəm
multidisciplinary	ˌmʌltidɪsəˈplɪnəri
multicultural	ˌmʌltiˈkʌltʃərəl
multigrade	ˈmʌltiɡreɪd
multiculturalism	ˌmʌltiˌkʌltʃərəlɪzəm
multinational	ˌmʌltiˈnæʃnəl
multimedia	ˌmʌltiˈmiːdiə
multimillionaire	ˌmʌltimɪljəˈneə(r)
multifarious	ˌmʌltɪˈfeəriəs
multiple	ˈmʌltɪpl
multiparty	ˌmʌltiˈpɑːti
multifaceted	ˌmʌltiˈfæsɪtɪd
multilateral	ˌmʌltiˈlætərəl
multilingual	ˌmʌltiˈlɪŋɡwəl
multigym	ˈmʌltidʒɪm
multiplication	ˌmʌltɪplɪˈkeɪʃn
multiplex	ˈmʌltɪpleks
multiplicity	ˌmʌltɪˈplɪsəti
multiply	ˈmʌltɪplaɪ
multiplier	ˈmʌltɪplaɪə(r)
multiracial	ˌmʌltiˈreɪʃl
multitudinous	ˌmʌltɪˈtjuːdɪnəs
multitasking	ˌmʌltiˈtɑːskɪŋ
multivitamin	ˌmʌltiˈvɪtəmɪn
multiprocessor	ˌmʌltiˈprəʊsesə(r)
mumble	ˈmʌmbl
mummy	ˈmʌmi
mumps	mʌmps
mum	mʌm
mummify	ˈmʌmɪfaɪ
munchies	ˈmʌntʃɪz
mumsy	ˈmʌmzi
mummer	ˈmʌmə(r)
multitude	ˈmʌltɪtjuːd
municipal	mjuːˈnɪsɪpl
municipality	mjuːˌnɪsɪˈpæləti
mural	ˈmjʊərəl
munitions	mjuːˈnɪʃnz
munition	mjuːˈnɪʃn
murderer	ˈmɜːdərə(r)
muppet	ˈmʌpɪt
murder	ˈmɜːdə(r)
murderess	ˈmɜːdəres
murderous	ˈmɜːdərəs
murderously	ˈmɜːdərəsli
munificent	mjuːˈnɪfɪsnt
munificence	mjuːˈnɪfɪsns
mung	mʌŋ
munch	mʌntʃ
murk	mɜːk
muntjac	ˈmʌntdʒæk
muscat	ˈmʌskæt
murmur	ˈmɜːmə(r)
muscular	ˈmʌskjələ(r)
murky	ˈmɜːki
muscatel	ˌmʌskəˈtel
murram	ˈmʌrəm
muscovado	ˌmʌskəˈvɑːdəʊ
mush	mʌʃ
mushroom	ˈmʌʃrʊm
musher	ˈmʌʃə(r)
museum	mjuˈziːəm
musical	ˈmjuːzɪkl
musculature	ˈmʌskjələtʃə(r)
music	ˈmjuːzɪk
musicianship	mjuˈzɪʃnʃɪp
mushy	ˈmʌʃi
musician	mjuˈzɪʃn
muse	mjuːz
musically	ˈmjuːzɪkli
musketry	ˈmʌskɪtri
musicology	ˌmjuːzɪˈkɒlədʒi
musicologist	ˌmjuːzɪˈkɒlədʒɪst
muskrat	ˈmʌskræt
musicality	ˌmjuːzɪˈkæləti
musketeer	ˌmʌskəˈtɪə(r)
must	məst
mustn't	ˈmʌsnt
musk	mʌsk
mustard	ˈmʌstəd
mustached	məˈstɑːʃt
mustachioed	məˈstæʃiəʊd
musquash	ˈmʌskwɒʃ
muslin	ˈmʌzlɪn
mustache	məˈstɑːʃ
mutable	ˈmjuːtəbl
mutability	ˌmjuːtəˈbɪləti
muso	ˈmjuːzəʊ
musket	ˈmʌskɪt
mutant	ˈmjuːtənt
musty	ˈmʌsti
mutate	mjuːˈteɪt
muster	ˈmʌstə(r)
musing	ˈmjuːzɪŋ
muscle	ˈmʌsl
mussel	ˈmʌsl
mute	mjuːt
mutely	ˈmjuːtli
muted	ˈmjuːtɪd
mutinous	ˈmjuːtənəs
mutinously	ˈmjuːtənəsli
mutiny	ˈmjuːtəni
mutism	ˈmjuːtɪzəm
muss	mʌs
mutilate	ˈmjuːtɪleɪt
mutilation	ˌmjuːtɪˈleɪʃn
mutter	ˈmʌtə(r)
mutineer	ˌmjuːtəˈnɪə(r)
mutton	ˈmʌtn
mutual	ˈmjuːtʃuəl
mutuality	ˌmjuːtʃuˈæləti
mutually	ˈmjuːtʃuəli
mutation	mjuːˈteɪʃn
mustang	ˈmʌstæŋ
muzzle	ˈmʌzl
muti	ˈmuːti
mutt	mʌt
muttering	ˈmʌtərɪŋ
muzzy	ˈmʌzi
myalgia	maɪˈældʒə
myalgic	maɪˈældʒɪk
my	maɪ
mynah	ˈmaɪnə
mycology	maɪˈkɒlədʒi
myeloma	ˌmaɪəˈləʊmə
myelomata	ˌmaɪəˈləʊmətə
myelin	ˈmaɪəlɪn
myopia	maɪˈəʊpiə
myopic	maɪˈɒpɪk
myriad	ˈmɪriəd
myrrh	mɜː(r)
myself	maɪˈself
mysterious	mɪˈstɪəriəs
mysteriously	mɪˈstɪəriəsli
mystical	ˈmɪstɪkl
mystically	ˈmɪstɪkli
myrtle	ˈmɜːtl
mystery	ˈmɪstri
mythical	ˈmɪθɪkl
myth	mɪθ
mysticism	ˈmɪstɪsɪzəm
mystify	ˈmɪstɪfaɪ
mystification	ˌmɪstɪfɪˈkeɪʃn
mystique	mɪˈstiːk
mythological	ˌmɪθəˈlɒdʒɪkl
mythic	ˈmɪθɪk
myxomatosis	ˌmɪksəməˈtəʊsɪs
mythography	mɪˈθɒɡrəfi
n	en
n's	enz
mythology	mɪˈθɒlədʒi
nabob	ˈneɪbɒb
nab	næb
mystic	ˈmɪstɪk
nada	ˈnɑːdə
nachos	ˈnætʃəʊz
naff	næf
nag	næɡ
nadir	ˈneɪdɪə(r)
nae	neɪ
nagging	ˈnæɡɪŋ
nagana	nəˈɡɑːnə
naiad	ˈnaɪæd
naiades	ˈnaɪædiːz
nail	neɪl
name	neɪm
nameless	ˈneɪmləs
naive	naɪˈiːv
namaskar	ˌnʌmʌsˈkɑː(r)
nan	næn
nana	ˈnænə
namely	ˈneɪmli
namecheck	ˈneɪmtʃek
nancy	ˈnænsi
namesake	ˈneɪmseɪk
naked	ˈneɪkɪd
nakedly	ˈneɪkɪdli
nannying	ˈnæniɪŋ
nanotechnology	ˌnænəʊtekˈnɒlədʒi
nanotechnologist	ˌnænəʊtekˈnɒlədʒɪst
nanny	ˈnæni
naphtha	ˈnæfθə
napalm	ˈneɪpɑːm
napkin	ˈnæpkɪn
nape	neɪp
nappy	ˈnæpi
nappe	næp
narcissus	nɑːˈsɪsəs
narcissi	nɑːˈsɪsaɪ
narcolepsy	ˈnɑːkəʊlepsi
nanosecond	ˈnænəʊsekənd
nanometre	ˈnænəʊmiːtə(r)
narrate	nəˈreɪt
narration	nəˈreɪʃn
narcotic	nɑːˈkɒtɪk
nappa	ˈnæpə
narky	ˈnɑːki
narked	nɑːkt
narcosis	nɑːˈkəʊsɪs
narrator	nəˈreɪtə(r)
narrowcast	ˈnærəʊkɑːst
nap	næp
nasal	ˈneɪzl
narrowly	ˈnærəʊli
nark	nɑːk
narc	nɑːk
nary	ˈneəri
narrows	ˈnærəʊz
narrative	ˈnærətɪv
nasalize	ˈneɪzlaɪz
nasalization	ˌneɪzlaɪˈzeɪʃn
narrow	ˈnærəʊ
narrowness	ˈnærəʊnəs
nascent	ˈnæsnt
narcissism	ˈnɑːsɪsɪzəm
narcissistic	ˌnɑːsɪˈsɪstɪk
naphthalene	ˈnæfθəliːn
nasty	ˈnɑːsti
nastily	ˈnɑːstɪli
natality	nəˈtælɪti
nasturtium	nəˈstɜːʃəm
natal	ˈneɪtl
nationalistic	ˌnæʃnəˈlɪstɪk
national	ˈnæʃnəl
nationally	ˈnæʃnəli
nation	ˈneɪʃn
nationhood	ˈneɪʃnhʊd
nativity	nəˈtɪvəti
nationwide	ˌneɪʃnˈwaɪd
natterjack	ˈnætədʒæk
nationalism	ˈnæʃnəlɪzəm
narwhal	ˈnɑːwəl
natter	ˈnætə(r)
native	ˈneɪtɪv
nationality	ˌnæʃəˈnæləti
natural	ˈnætʃrəl
naturalism	ˈnætʃrəlɪzəm
naturism	ˈneɪtʃərɪzəm
naturalistic	ˌnætʃrəˈlɪstɪk
natty	ˈnæti
naturally	ˈnætʃrəli
nature	ˈneɪtʃə(r)
naughty	ˈnɔːti
naturopathy	ˌneɪtʃəˈrɒpəθi
naturopath	ˈneɪtʃərəpæθ
navel	ˈneɪvl
natch	nætʃ
naturalness	ˈnætʃrəlnəs
nationalize	ˈnæʃnəlaɪz
nationalization	ˌnæʃnəlaɪˈzeɪʃn
naturist	ˈneɪtʃərɪst
naturalist	ˈnætʃrəlɪst
navigate	ˈnævɪɡeɪt
naval	ˈneɪvl
nautical	ˈnɔːtɪkl
navigation	ˌnævɪˈɡeɪʃn
navigational	ˌnævɪˈɡeɪʃənl
nationalist	ˈnæʃnəlɪst
navigator	ˈnævɪɡeɪtə(r)
navigable	ˈnævɪɡəbl
navigability	ˌnævɪɡəˈbɪləti
nawab	nəˈwɑːb
navvy	ˈnævi
navy	ˈneɪvi
naturalize	ˈnætʃrəlaɪz
naturalization	ˌnætʃrəlaɪˈzeɪʃn
nausea	ˈnɔːziə
nauseous	ˈnɔːziəs
nay	neɪ
nauseate	ˈnɔːzieɪt
nearside	ˈnɪəsaɪd
nave	neɪv
nebbish	ˈnebɪʃ
neaten	ˈniːtn
neat	niːt
neatly	niːtli
nebulous	ˈnebjələs
necessaries	ˈnesəsəriz
necessarily	ˌnesəˈserəli
nebula	ˈnebjələ
nebulae	ˈnebjəliː
necklace	ˈnekləs
necktie	ˈnektaɪ
necessary	ˈnesəsəri
necessitate	nəˈsesɪteɪt
neckerchief	ˈnekətʃiːf
neck	nek
necropsy	ˈnekrɒpsi
neckwear	ˈnekweə(r)
necrosis	neˈkrəʊsɪs
neckline	ˈneklaɪn
needlecord	ˈniːdlkɔːd
necropolis	nəˈkrɒpəlɪs
necropolises	nəˈkrɒpəlɪsɪz
need	niːd
necrophilia	ˌnekrəˈfɪliə
needlecraft	ˈniːdlkrɑːft
needle	ˈniːdl
needlework	ˈniːdlwɜːk
needful	ˈniːdfl
nectarine	ˈnektəriːn
needs	niːdz
negate	nɪˈɡeɪt
negation	nɪˈɡeɪʃn
neep	niːp
necromancy	ˈnekrəʊmænsi
needless	ˈniːdləs
needlessly	ˈniːdləsli
neglect	nɪˈɡlekt
nectar	ˈnektə(r)
necessity	nəˈsesəti
needlewoman	ˈniːdlwʊmən
needlewomen	ˈniːdlwɪmɪn
negativity	ˌneɡəˈtɪvəti
neglected	nɪˈɡlektɪd
negligent	ˈneɡlɪdʒənt
negligently	ˈneɡlɪdʒəntli
negligence	ˈneɡlɪdʒəns
needy	ˈniːdi
negotiate	nɪˈɡəʊʃieɪt
negotiation	nɪˌɡəʊʃiˈeɪʃn
neglectful	nɪˈɡlektfl
negligible	ˈneɡlɪdʒəbl
near	nɪə(r)
negotiator	nɪˈɡəʊʃieɪtə(r)
negritude	ˈneɡrɪtjuːd
negligee	ˈneɡlɪʒeɪ
negotiable	nɪˈɡəʊʃiəbl
neighbourly	ˈneɪbəli
neighbourliness	ˈneɪbəlinəs
neither	ˈnaɪðə(r)
neigh	neɪ
neighbourhood	ˈneɪbəhʊd
nematode	ˈnemətəʊd
nelson	ˈnelsn
nemesis	ˈneməsɪs
nearly	ˈnɪəli
neocolonialism	ˌniːəʊkəˈləʊniəlɪzəm
neighbouring	ˈneɪbərɪŋ
neighbour	ˈneɪbə(r)
negative	ˈneɡətɪv
negatively	ˈneɡətɪvli
neoclassical	ˌniːəʊˈklæsɪkl
neodymium	ˌniːəʊˈdɪmiəm
neonate	ˈniːəʊneɪt
neon	ˈniːɒn
neonatal	ˌniːəʊˈneɪtl
neophyte	ˈniːəfaɪt
neoplasticism	ˌniːəʊˈplæstɪsɪzəm
neoplastic	ˌniːəʊˈplæstɪk
nephew	ˈnefjuː
neologism	niˈɒlədʒɪzəm
nepotism	ˈnepətɪzəm
neptunium	nepˈtjuːniəm
neoprene	ˈniːəpriːn
nerd	nɜːd
nerve	nɜːv
nerveless	ˈnɜːvləs
nest	nest
nervy	ˈnɜːvi
nestling	ˈnestlɪŋ
nervous	ˈnɜːvəs
nervously	ˈnɜːvəsli
netball	ˈnetbɔːl
net	net
nettlesome	ˈnetlsəm
nether	ˈneðə(r)
network	ˈnetwɜːk
neural	ˈnjʊərəl
netting	ˈnetɪŋ
neurasthenia	ˌnjʊərəsˈθiːniə
netiquette	ˈnetɪket
neurolinguistics	ˌnjʊərəʊlɪŋˈɡwɪstɪks
neurology	njʊəˈrɒlədʒi
neurological	ˌnjʊərəˈlɒdʒɪkl
netizen	ˈnetɪzn
nettlerash	ˈnetlræʃ
neurophysiology	ˌnjʊərəʊfɪziˈɒlədʒi
neuralgia	njʊəˈrældʒə
neuralgic	njʊəˈrældʒɪk
neuroscience	ˈnjʊərəʊsaɪəns
neuroscientist	ˈnjʊərəʊsaɪəntɪst
neuter	ˈnjuːtə(r)
neurotransmitter	ˈnjʊərəʊtrænzmɪtə(r)
nettle	ˈnetl
neurotic	njʊəˈrɒtɪk
neurotically	njʊəˈrɒtɪkli
neurologist	njʊəˈrɒlədʒɪst
neurosis	njʊəˈrəʊsɪs
neuroses	njʊəˈrəʊsiːz
neutralist	ˈnjuːtrəlɪst
neurosurgery	ˈnjʊərəʊsɜːdʒəri
neuron	ˈnjʊərɒn
neutron	ˈnjuːtrɒn
never	ˈnevə(r)
networking	ˈnetwɜːkɪŋ
newly	ˈnjuːli
newscast	ˈnjuːzkɑːst
neurotoxin	ˌnjʊərəʊˈtɒksɪn
neutralize	ˈnjuːtrəlaɪz
neutralization	ˌnjuːtrəlaɪˈzeɪʃn
newcomer	ˈnjuːkʌmə(r)
newsdealer	ˈnjuːzdiːlə(r)
neutrino	njuːˈtriːnəʊ
newscaster	ˈnjuːzkɑːstə(r)
newspaper	ˈnjuːzpeɪpə(r)
newborn	ˈnjuːbɔːn
newsagent	ˈnjuːzeɪdʒənt
nevermore	ˌnevəˈmɔː(r)
newspeak	ˈnjuːspiːk
newspaperman	ˈnjuːzpeɪpəmæn
newspaperwoman	ˈnjuːzpeɪpəwʊmən
newspapermen	ˈnjuːzpeɪpəmen
newspaperwomen	ˈnjuːzpeɪpəwɪmɪn
newfangled	ˌnjuːˈfæŋɡld
news	njuːz
newsgroup	ˈnjuːzɡruːp
newsworthy	ˈnjuːzwɜːði
next	nekst
nexus	ˈneksəs
newton	ˈnjuːtən
newt	njuːt
nib	nɪb
niacin	ˈnaɪəsɪn
neutral	ˈnjuːtrəl
neutrally	ˈnjuːtrəli
nicely	ˈnaɪsli
nicety	ˈnaɪsəti
newsreel	ˈnjuːzriːl
niche	niːʃ
newsman	ˈnjuːzmæn
newswoman	ˈnjuːzwʊmən
newsmen	ˈnjuːzmen
newswomen	ˈnjuːzwɪmɪn
nickel	ˈnɪkl
nickname	ˈnɪkneɪm
nibble	ˈnɪbl
neutrality	njuːˈtræləti
newsprint	ˈnjuːzprɪnt
newsletter	ˈnjuːzletə(r)
newsy	ˈnjuːzi
newswire	ˈnjuːzwaɪə(r)
nicker	ˈnɪkə(r)
nibs	nɪbz
nevertheless	ˌnevəðəˈles
nice	naɪs
niceness	naɪsnəs
nicotine	ˈnɪkətiːn
newbie	ˈnjuːbi
niece	niːs
new	njuː
newness	njuːnəs
nick	nɪk
niggle	ˈnɪɡl
nigger	ˈnɪɡə(r)
nifty	ˈnɪfti
nigh	naɪ
niggling	ˈnɪɡlɪŋ
night	naɪt
niggardly	ˈnɪɡədli
nightfall	ˈnaɪtfɔːl
nightly	ˈnaɪtli
nightwear	ˈnaɪtweə(r)
nightgown	ˈnaɪtɡaʊn
nightstand	ˈnaɪtstænd
nightspot	ˈnaɪtspɒt
nightlife	ˈnaɪtlaɪf
nightjar	ˈnaɪtdʒɑː(r)
nightshirt	ˈnaɪtʃɜːt
nightie	ˈnaɪti
nightmare	ˈnaɪtmeə(r)
nightmarish	ˈnaɪtmeərɪʃ
nihilism	ˈnaɪɪlɪzəm
nihilistic	ˌnaɪɪˈlɪstɪk
nil	nɪl
nihilist	ˈnaɪɪlɪst
nightcap	ˈnaɪtkæp
nimble	ˈnɪmbl
nimbler	ˈnɪmblə(r)
nimblest	ˈnɪmblɪst
nimbly	ˈnɪmbli
nightdress	ˈnaɪtdres
nincompoop	ˈnɪŋkəmpuːp
ninny	ˈnɪni
nineteen	ˌnaɪnˈtiːn
nineteenth	ˌnaɪnˈtiːnθ
ninth	naɪnθ
niobium	naɪˈəʊbiəm
nipper	ˈnɪpə(r)
nightingale	ˈnaɪtɪŋɡeɪl
nim	nɪm
ninety	ˈnaɪnti
ninetieth	ˈnaɪntiəθ
nip	nɪp
nirvana	nɪəˈvɑːnə
nippy	ˈnɪpi
nit	nɪt
nitrate	ˈnaɪtreɪt
nitrify	ˈnaɪtrɪfaɪ
nitroglycerine	ˌnaɪtrəʊˈɡlɪsəriːn
ninepins	ˈnaɪnpɪnz
nimbus	ˈnɪmbəs
nix	nɪks
ninja	ˈnɪndʒə
nipple	ˈnɪpl
nitrogen	ˈnaɪtrədʒən
nitrogenous	naɪˈtrɒdʒənəs
nitwit	ˈnɪtwɪt
nobble	ˈnɒbl
noble	ˈnəʊbl
nobler	ˈnəʊblə(r)
noblest	ˈnəʊblɪst
nobly	ˈnəʊbli
nob	nɒb
nobility	nəʊˈbɪləti
nobody	ˈnəʊbədi
nobelium	nəʊˈbiːliəm
nobleman	ˈnəʊblmən
noblewoman	ˈnəʊblwʊmən
noblemen	ˈnəʊblmən
noblewomen	ˈnəʊblwɪmɪn
nitrite	ˈnaɪtraɪt
nod	nɒd
nimbostratus	ˌnɪmbəʊˈstrɑːtəs
nodule	ˈnɒdjuːl
noddle	ˈnɒdl
nine	naɪn
node	nəʊd
nocturne	ˈnɒktɜːn
nocturnal	nɒkˈtɜːnl
noise	nɔɪz
noh	nəʊ
noisy	ˈnɔɪzi
noisily	ˈnɔɪzɪli
nomad	ˈnəʊmæd
nomadic	nəʊˈmædɪk
nomenclature	nəˈmenklətʃə(r)
nominal	ˈnɒmɪnl
nominally	ˈnɒmɪnəli
noiseless	ˈnɔɪzləs
noiselessly	ˈnɔɪzləsli
nominate	ˈnɒmɪneɪt
nonagon	ˈnɒnəɡən
noisome	ˈnɔɪsəm
nominative	ˈnɒmɪnətɪv
nonagenarian	ˌnɒnədʒəˈneəriən
nomination	ˌnɒmɪˈneɪʃn
nonentity	nɒˈnentəti
nonconformist	ˌnɒnkənˈfɔːmɪst
none	nʌn
nonsense	ˈnɒnsns
nominalize	ˈnɒmɪnəlaɪz
nonetheless	ˌnʌnðəˈles
nonet	nəʊˈnet
nonplussed	ˌnɒnˈplʌst
nonconformity	ˌnɒnkənˈfɔːmɪti
nonsensical	nɒnˈsensɪkl
noontide	ˈnuːntaɪd
noon	nuːn
nooky	ˈnʊki
noonday	ˈnuːndeɪ
noodle	ˈnuːdl
nope	nəʊp
normal	ˈnɔːml
nondescript	ˈnɒndɪskrɪpt
norm	nɔːm
nong	nɒŋ
nonce	nɒns
nook	nʊk
nonpareil	ˌnɒnpəˈreɪl
normality	nɔːˈmæləti
nonchalant	ˈnɒnʃələnt
nonchalance	ˈnɒnʃələns
normally	ˈnɔːməli
norman	ˈnɔːmən
noose	nuːs
north	nɔːθ
northerly	ˈnɔːðəli
northern	ˈnɔːðən
northernmost	ˈnɔːðənməʊst
nose	nəʊz
northerner	ˈnɔːðənə(r)
normative	ˈnɔːmətɪv
normalize	ˈnɔːməlaɪz
normalization	ˌnɔːməlaɪˈzeɪʃn
nosebag	ˈnəʊzbæɡ
nosegay	ˈnəʊzɡeɪ
nor	nɔː(r)
northwards	ˈnɔːθwədz
northward	ˈnɔːθwəd
nostalgia	nɒˈstældʒə
nostalgic	nɒˈstældʒɪk
notable	ˈnəʊtəbl
nosh	nɒʃ
not	nɒt
notably	ˈnəʊtəbli
notarize	ˈnəʊtəraɪz
notation	nəʊˈteɪʃn
nosology	nɒˈsɒlədʒi
notebook	ˈnəʊtbʊk
notepaper	ˈnəʊtpeɪpə(r)
notice	ˈnəʊtɪs
nosy	ˈnəʊzi
