aardvark	ˈɑːdvɑːk
fighting	ˈfaɪtɪŋ
fights	faɪts
figure	ˈfɪɡə
figured	ˈfɪɡəd
figures	ˈfɪɡəz
figuring	ˈfɪɡəɪŋ
filch	fɪltʃ
filched	fɪltʃt
filches	ˈfɪltʃɪz
filching	ˈfɪltʃɪŋ
file	faɪl
filed	faɪld
files	faɪlz
filibuster	ˈfɪlɪbʌstə
filibustered	ˈfɪlɪbʌstəd
filibustering	ˈfɪlɪbʌstərɪŋ
filibusters	ˈfɪlɪbʌstəz
filing	ˈfaɪlɪŋ
fill	fɪl
filled	fɪld
fillet	ˈfɪlɪt
filleted	ˈfɪlɪtɪd
filleting	ˈfɪlɪtɪŋ
fillets	ˈfɪlɪts
filling	ˈfɪlɪŋ
fills	fɪlz
film	fɪlm
filmed	fɪlmd
filming	ˈfɪlmɪŋ
films	fɪlmz
filter	ˈfɪltə
filtered	ˈfɪltəd
filtering	ˈfɪltərɪŋ
filters	ˈfɪltəz
finagle	fɪˈneɪɡl
finagled	fɪˈneɪɡld
finagles	fɪˈneɪɡlz
finagling	fɪˈneɪɡlɪŋ
finalize	ˈfaɪnəlaɪz
finalized	ˈfaɪnəlaɪzd
finalizes	ˈfaɪnəlaɪzɪz
finalizing	ˈfaɪnəlaɪzɪŋ
finance	ˈfaɪnæns
financed	ˈfaɪnænst
finances	ˈfaɪnænsɪz
find	faɪnd
finding	ˈfaɪndɪŋ
finds	faɪndz
fine	faɪn
fined	faɪnd
fines	faɪnz
finesse	fɪˈnes
finessed	fɪˈnest
finesses	fɪˈnesɪz
finessing	fɪˈnesɪŋ
finger	ˈfɪŋɡə
fingered	ˈfɪŋɡəd
fingering	ˈfɪŋɡərɪŋ
fingerprint	ˈfɪŋɡəprɪnt
fingerprinted	ˈfɪŋɡəprɪntɪd
fingerprinting	ˈfɪŋɡəprɪntɪŋ
fingerprints	ˈfɪŋɡəprɪnts
fingers	ˈfɪŋɡəz
fining	ˈfaɪnɪŋ
finish	ˈfɪnɪʃ
finished	ˈfɪnɪʃt
finishes	ˈfɪnɪʃɪz
finishing	ˈfɪnɪʃɪŋ
fire	ˈfaɪə
firebomb	ˈfaɪəbɒm
firebombed	ˈfaɪəbɒmd
firebombing	ˈfaɪəbɒmɪŋ
firebombs	ˈfaɪəbɒmz
fired	ˈfaɪəd
fires	ˈfaɪəz
firing	ˈfaɪərɪŋ
firm	fɜːm
firmed	fɜːmd
firming	ˈfɜːmɪŋ
firms	fɜːmz
fish	fɪʃ
fished	fɪʃt
fishes	ˈfɪʃɪz
fishing	ˈfɪʃɪŋ
fishtail	ˈfɪʃteɪl
fishtails	ˈfɪʃteɪlz
fit	fɪt
fits	fɪts
fitted	ˈfɪtɪd
fix	fɪks
fixed	fɪkst
fixes	ˈfɪksɪz
fixing	ˈfɪksɪŋ
fizz	fɪz
fizzed	fɪzd
fizzes	ˈfɪzɪz
fizzing	ˈfɪzɪŋ
fizzle	ˈfɪzl
fizzled	ˈfɪzld
fizzles	ˈfɪzlz
fizzling	ˈfɪzlɪŋ
flag	flæɡ
flagellate	ˈflædʒəleɪt
flagellated	ˈflædʒəleɪtɪd
flagellates	ˈflædʒəleɪts
flagellating	ˈflædʒəleɪtɪŋ
flagged	flæɡd
flagging	ˈflæɡɪŋ
flags	flæɡz
flail	fleɪl
flailed	fleɪld
flailing	ˈfleɪlɪŋ
flails	fleɪlz
flake	fleɪk
flaked	fleɪkt
flakes	fleɪks
flaking	ˈfleɪkɪŋ
flambé	ˈflɒmbeɪ
flambéed	ˈflɒmbeɪd
flame	fleɪm
flamed	fleɪmd
flames	fleɪmz
flaming	ˈfleɪmɪŋ
flank	flæŋk
flanked	flæŋkt
flanking	ˈflæŋkɪŋ
flanks	flæŋks
flap	flæp
flapped	flæpt
flapping	ˈflæpɪŋ
flaps	flæps
flare	fleə
flared	fleəd
flares	fleəz
flaring	ˈfleərɪŋ
flash	flæʃ
flashed	flæʃt
flashes	ˈflæʃɪz
flashing	ˈflæʃɪŋ
flat	flæt
flats	flæts
flatted	ˈflætɪd
flatten	ˈflætn
flattened	ˈflætnd
flattening	ˈflætnɪŋ
flattens	ˈflætnz
flatter	ˈflætə
flattered	ˈflætəd
flattering	ˈflætərɪŋ
flatters	ˈflætəz
flatting	ˈflætɪŋ
flaunt	flɔːnt
flaunted	ˈflɔːntɪd
flaunting	ˈflɔːntɪŋ
flaunts	flɔːnts
flavour	ˈfleɪvə
flavoured	ˈfleɪvəd
flavouring	ˈfleɪvərɪŋ
flavours	ˈfleɪvəz
flay	fleɪ
flayed	fleɪd
flaying	ˈfleɪɪŋ
flays	fleɪz
fleck	flek
flecked	flekt
flecking	ˈflekɪŋ
flecks	fleks
fled	fled
flee	fliː
fleece	fliːs
fleeced	fliːst
fleeces	ˈfliːsɪz
fleecing	ˈfliːsɪŋ
fleeing	ˈfliːɪŋ
flees	fliːz
flesh	fleʃ
fleshed	fleʃt
fleshes	ˈfleʃɪz
fleshing	ˈfleʃɪŋ
flew	fluː
flex	fleks
flexed	flekst
flexes	ˈfleksɪz
flexing	ˈfleksɪŋ
flick	flɪk
flicked	flɪkt
flicker	ˈflɪkə
flickered	ˈflɪkəd
flickering	ˈflɪkərɪŋ
flickers	ˈflɪkəz
flicking	ˈflɪkɪŋ
flicks	flɪks
flies	flaɪz
flight	flaɪt
flighted	ˈflaɪtɪd
flighting	ˈflaɪtɪŋ
flights	flaɪts
flinch	flɪntʃ
flinched	flɪntʃt
flinches	ˈflɪntʃɪz
flinching	ˈflɪntʃɪŋ
fling	flɪŋ
flinging	ˈflɪŋɪŋ
flings	flɪŋz
flip	flɪp
flipped	flɪpt
flipping	ˈflɪpɪŋ
flips	flɪps
flirt	flɜːt
flirted	ˈflɜːtɪd
flirting	ˈflɜːtɪŋ
flirts	flɜːts
flit	flɪt
flits	flɪts
flitted	ˈflɪtɪd
flitting	ˈflɪtɪŋ
float	fləʊt
floated	ˈfləʊtɪd
floating	ˈfləʊtɪŋ
floats	fləʊts
flock	flɒk
flocked	flɒkt
flocking	ˈflɒkɪŋ
flocks	flɒks
flog	flɒɡ
flogged	flɒɡd
flogging	ˈflɒɡɪŋ
flogs	flɒɡz
flood	flʌd
flooded	ˈflʌdɪd
flooding	ˈflʌdɪŋ
floodlight	ˈflʌdlaɪt
floodlit	ˈflʌdlɪt
floodlighting	ˈflʌdlaɪtɪŋ
floodlights	ˈflʌdlaɪts
floods	flʌdz
floor	flɔː
floored	flɔːd
flooring	ˈflɔːrɪŋ
floors	flɔːz
flop	flɒp
flopped	flɒpt
flopping	ˈflɒpɪŋ
flops	flɒps
floss	flɒs
flosses	ˈflɒsɪz
flossing	ˈflɒsɪŋ
flounce	flaʊns
flounced	flaʊnst
flounces	ˈflaʊnsɪz
flouncing	ˈflaʊnsɪŋ
flounder	ˈflaʊndə
floundered	ˈflaʊndəd
floundering	ˈflaʊndərɪŋ
flounders	ˈflaʊndəz
flour	ˈflaʊə
floured	ˈflaʊəd
flouring	ˈflaʊərɪŋ
flourish	ˈflʌrɪʃ
flourished	ˈflʌrɪʃt
flourishes	ˈflʌrɪʃɪz
flourishing	ˈflʌrɪʃɪŋ
flours	ˈflaʊəz
flout	flaʊt
flouted	ˈflaʊtɪd
flouting	ˈflaʊtɪŋ
flouts	flaʊts
flow	fləʊ
flowed	fləʊd
flower	ˈflaʊə
flowered	ˈflaʊəd
flowering	ˈflaʊərɪŋ
flowers	ˈflaʊəz
flowing	ˈfləʊɪŋ
flows	fləʊz
flub	flʌb
flubbed	flʌbd
flubbing	ˈflʌbɪŋ
flubs	flʌbz
fluctuate	ˈflʌktʃueɪt
fluctuated	ˈflʌktʃueɪtɪd
fluctuates	ˈflʌktʃueɪts
fluctuating	ˈflʌktʃueɪtɪŋ
fluff	flʌf
fluffed	flʌft
fluffing	ˈflʌfɪŋ
fluffs	flʌfs
flummox	ˈflʌməks
flummoxed	ˈflʌməkst
flummoxes	ˈflʌməksɪz
flummoxing	ˈflʌməksɪŋ
flung	flʌŋ
flunk	flʌŋk
flunked	flʌŋkt
flunking	ˈflʌŋkɪŋ
flunks	flʌŋks
flush	flʌʃ
flushed	flʌʃt
flushes	ˈflʌʃɪz
flushing	ˈflʌʃɪŋ
fluster	ˈflʌstə
flustered	ˈflʌstəd
flustering	ˈflʌstərɪŋ
flusters	ˈflʌstəz
flutter	ˈflʌtə
fluttered	ˈflʌtəd
fluttering	ˈflʌtərɪŋ
flutters	ˈflʌtəz
fly	flaɪ
fly-kick	ˈflaɪ kɪk
fly-kicks	ˈflaɪ kɪks
foal	fəʊl
foaled	fəʊld
foaling	ˈfəʊlɪŋ
foals	fəʊlz
foam	fəʊm
foamed	fəʊmd
foaming	ˈfəʊmɪŋ
foams	fəʊmz
fob	fɒb
fobbed	fɒbd
fobbing	ˈfɒbɪŋ
fobs	fɒbz
focalize	ˈfəʊkəlaɪz
focalized	ˈfəʊkəlaɪzd
focalizes	ˈfəʊkəlaɪzɪz
focalizing	ˈfəʊkəlaɪzɪŋ
focus	ˈfəʊkəs
focused	ˈfəʊkəst
focuses	ˈfəʊkəsɪz
focussed	ˈfəʊkəst
focussing	ˈfəʊkəsɪŋ
fog	fɒɡ
fogged	fɒɡd
fogging	ˈfɒɡɪŋ
fogs	fɒɡz
foil	fɔɪl
foiled	fɔɪld
foiling	ˈfɔɪlɪŋ
foils	fɔɪlz
foist	fɔɪst
foisted	ˈfɔɪstɪd
foisting	ˈfɔɪstɪŋ
foists	fɔɪsts
fold	fəʊld
folded	ˈfəʊldɪd
folding	ˈfəʊldɪŋ
folds	fəʊldz
follow	ˈfɒləʊ
followed	ˈfɒləʊd
following	ˈfɒləʊɪŋ
follows	ˈfɒləʊz
foment	fəʊˈment
fomented	fəʊˈmentɪd
fomenting	fəʊˈmentɪŋ
foments	fəʊˈments
fondle	ˈfɒndl
fondled	ˈfɒndld
fondles	ˈfɒndlz
fondling	ˈfɒndlɪŋ
fool	fuːl
fooled	fuːld
fooling	ˈfuːlɪŋ
fools	fuːlz
foot	fʊt
footed	ˈfʊtɪd
footing	ˈfʊtɪŋ
foots	fʊts
forage	ˈfɒrɪdʒ
foraged	ˈfɒrɪdʒd
forages	ˈfɒrɪdʒɪz
foraging	ˈfɒrɪdʒɪŋ
forbade	fəˈbæd
forbear	fɔːˈbeə
forbears	fɔːˈbeəz
forbid	fəˈbɪd
forbids	fəˈbɪdz
forbore	fɔːˈbɔː
force	fɔːs
forced	fɔːst
forces	ˈfɔːsɪz
forcing	ˈfɔːsɪŋ
ford	fɔːd
forded	ˈfɔːdɪd
fording	ˈfɔːdɪŋ
fords	fɔːdz
forearm	ˌfɔːrˈɑːm
forearmed	ˌfɔːrˈɑːmd
forearming	ˌfɔːrˈɑːmɪŋ
forearms	ˌfɔːrˈɑːmz
forecast	ˈfɔːkɑːst
forecasted	ˈfɔːkɑːstɪd
forecasts	ˈfɔːkɑːsts
foreclose	fɔːˈkləʊz
foreclosed	fɔːˈkləʊzd
forecloses	fɔːˈkləʊzɪz
foreclosing	fɔːˈkləʊzɪŋ
foregather	ˌfɔːˈɡæðə
foregathered	ˌfɔːˈɡæðəd
foregathering	ˌfɔːˈɡæðərɪŋ
foregathers	ˌfɔːˈɡæðəz
foreground	ˈfɔːɡraʊnd
foregrounds	ˈfɔːɡraʊndz
foresaw	fɔːˈsɔː
foresee	fɔːˈsiː
foresees	fɔːˈsiːz
foreshadow	fɔːˈʃædəʊ
foreshadowed	fɔːˈʃædəʊd
foreshadowing	fɔːˈʃædəʊɪŋ
foreshadows	fɔːˈʃædəʊz
foreshorten	fɔːˈʃɔːtn
foreshortened	fɔːˈʃɔːtnd
foreshortening	fɔːˈʃɔːtnɪŋ
foreshortens	fɔːˈʃɔːtnz
forestall	fɔːˈstɔːl
forestalled	fɔːˈstɔːld
forestalling	fɔːˈstɔːlɪŋ
forestalls	fɔːˈstɔːlz
foretell	fɔːˈtel
foretelling	fɔːˈtelɪŋ
foretells	fɔːˈtelz
foretold	fɔːˈtəʊld
forewarn	fɔːˈwɔːn
forewarned	fɔːˈwɔːnd
forewarning	fɔːˈwɔːnɪŋ
forewarns	fɔːˈwɔːnz
forfeit	ˈfɔːfɪt
forfeited	ˈfɔːfɪtɪd
forfeiting	ˈfɔːfɪtɪŋ
forfeits	ˈfɔːfɪts
forfend	fɔːˈfend
forfended	fɔːˈfendɪd
forfending	fɔːˈfendɪŋ
forfends	fɔːˈfendz
forgather	ˌfɔːˈɡæðə
forgathered	ˌfɔːˈɡæðəd
forgathering	ˌfɔːˈɡæðərɪŋ
forgathers	ˌfɔːˈɡæðəz
forgave	fəˈɡeɪv
forge	fɔːdʒ
forged	fɔːdʒd
forges	ˈfɔːdʒɪz
forget	fəˈɡet
forgets	fəˈɡets
forging	ˈfɔːdʒɪŋ
forgive	fəˈɡɪv
forgives	fəˈɡɪvz
forgo	fɔːˈɡəʊ
forgoes	fɔːˈɡəʊz
forgot	fəˈɡɒt
fork	fɔːk
forked	fɔːkt
forking	ˈfɔːkɪŋ
forks	fɔːks
form	fɔːm
formalize	ˈfɔːməlaɪz
formalized	ˈfɔːməlaɪzd
formalizes	ˈfɔːməlaɪzɪz
formalizing	ˈfɔːməlaɪzɪŋ
format	ˈfɔːmæt
formats	ˈfɔːmæts
formatted	ˈfɔːmætɪd
formatting	ˈfɔːmætɪŋ
formed	fɔːmd
forming	ˈfɔːmɪŋ
forms	fɔːmz
formulate	ˈfɔːmjuleɪt
formulated	ˈfɔːmjuleɪtɪd
formulates	ˈfɔːmjuleɪts
formulating	ˈfɔːmjuleɪtɪŋ
fornicate	ˈfɔːnɪkeɪt
fornicated	ˈfɔːnɪkeɪtɪd
fornicates	ˈfɔːnɪkeɪts
fornicating	ˈfɔːnɪkeɪtɪŋ
forsake	fəˈseɪk
forsakes	fəˈseɪks
forsook	fəˈsʊk
forswear	fɔːˈsweə
forswears	fɔːˈsweəz
forswore	fɔːˈswɔː
fortified	ˈfɔːtɪfaɪd
fortifies	ˈfɔːtɪfaɪz
fortify	ˈfɔːtɪfaɪ
fortifying	ˈfɔːtɪfaɪɪŋ
forward	ˈfɔːwəd
forwarded	ˈfɔːwədɪd
forwarding	ˈfɔːwədɪŋ
forwards	ˈfɔːwədz
forwent	fɔːˈwent
fossick	ˈfɒsɪk
fossicked	ˈfɒsɪkt
fossicking	ˈfɒsɪkɪŋ
fossicks	ˈfɒsɪks
fossilize	ˈfɒsəlaɪz
fossilized	ˈfɒsəlaɪzd
fossilizes	ˈfɒsəlaɪzɪz
fossilizing	ˈfɒsəlaɪzɪŋ
foster	ˈfɒstə
fostered	ˈfɒstəd
fostering	ˈfɒstərɪŋ
fosters	ˈfɒstəz
fought	fɔːt
foul	faʊl
fouled	faʊld
fouling	ˈfaʊlɪŋ
fouls	faʊlz
found	faʊnd
founded	ˈfaʊndɪd
founder	ˈfaʊndə
foundered	ˈfaʊndəd
foundering	ˈfaʊndərɪŋ
founders	ˈfaʊndəz
founds	faʊndz
fox	fɒks
foxed	fɒkst
foxes	ˈfɒksɪz
foxing	ˈfɒksɪŋ
fracture	ˈfræktʃə
fractured	ˈfræktʃəd
fractures	ˈfræktʃəz
fracturing	ˈfræktʃərɪŋ
frag	fræɡ
fragged	fræɡd
fragging	ˈfræɡɪŋ
fragment	fræɡˈment
fragmented	fræɡˈmentɪd
fragmenting	fræɡˈmentɪŋ
fragments	fræɡˈments
frags	fræɡz
frame	freɪm
framed	freɪmd
frames	freɪmz
framing	ˈfreɪmɪŋ
franchise	ˈfræntʃaɪz
franchised	ˈfræntʃaɪzd
franchises	ˈfræntʃaɪzɪz
franchising	ˈfræntʃaɪzɪŋ
frank	fræŋk
franked	fræŋkt
franking	ˈfræŋkɪŋ
franks	fræŋks
fraternize	ˈfrætənaɪz
fraternized	ˈfrætənaɪzd
fraternizes	ˈfrætənaɪzɪz
fraternizing	ˈfrætənaɪzɪŋ
fray	freɪ
frayed	freɪd
fraying	ˈfreɪɪŋ
frays	freɪz
freak	friːk
freaked	friːkt
freaking	ˈfriːkɪŋ
freaks	friːks
free	friː
freed	friːd
freeing	ˈfriːɪŋ
freelanced	ˈfriːlɑːnst
freelances	ˈfriːlɑːnsɪz
freelancing	ˈfriːlɑːnsɪŋ
freeload	ˈfriːləʊd
freeloaded	ˈfriːləʊdɪd
freeloading	ˈfriːləʊdɪŋ
freeloads	ˈfriːləʊdz
frees	friːz
freewheel	ˌfriːˈwiːl
freewheeled	ˌfriːˈwiːld
freewheeling	ˌfriːˈwiːlɪŋ
freewheels	ˌfriːˈwiːlz
freeze	friːz
freezes	friːzɪz
freight	freɪt
freighted	ˈfreɪtɪd
freighting	ˈfreɪtɪŋ
freights	freɪts
frequent	friˈkwent
frequented	friˈkwentɪd
frequenting	friˈkwentɪŋ
frequents	friˈkwents
freshen	ˈfreʃn
freshened	ˈfreʃnd
freshening	ˈfreʃnɪŋ
freshens	ˈfreʃnz
fret	fret
frets	frets
fretted	ˈfretɪd
fretting	ˈfretɪŋ
fried	fraɪd
fries	fraɪz
frighten	ˈfraɪtn
frightened	ˈfraɪtnd
frightening	ˈfraɪtnɪŋ
frightens	ˈfraɪtnz
fringe	frɪndʒ
fringed	frɪndʒd
fringes	ˈfrɪndʒɪz
fringing	ˈfrɪndʒɪŋ
frisk	frɪsk
frisked	frɪskt
frisking	ˈfrɪskɪŋ
frisks	frɪsks
fritter	ˈfrɪtə
frittered	ˈfrɪtəd
frittering	ˈfrɪtərɪŋ
fritters	ˈfrɪtəz
frizz	frɪz
frizzed	frɪzd
frizzes	ˈfrɪzɪz
frizzing	ˈfrɪzɪŋ
frizzle	ˈfrɪzl
frizzled	ˈfrɪzld
frizzles	ˈfrɪzlz
frizzling	ˈfrɪzlɪŋ
frogmarch	ˈfrɒɡmɑːtʃ
frogmarched	ˈfrɒɡmɑːtʃt
frogmarches	ˈfrɒɡmɑːtʃɪz
frogmarching	ˈfrɒɡmɑːtʃɪŋ
frolic	ˈfrɒlɪk
frolicked	ˈfrɒlɪkt
frolics	ˈfrɒlɪks
front	frʌnt
fronted	ˈfrʌntɪd
fronting	ˈfrʌntɪŋ
fronts	frʌnts
frost	frɒst
frosted	ˈfrɒstɪd
frosting	ˈfrɒstɪŋ
frosts	frɒsts
froth	frɒθ
frothed	frɒθt
frothing	ˈfrɒθɪŋ
froths	frɒθs
frown	fraʊn
frowned	fraʊnd
frowning	ˈfraʊnɪŋ
frowns	fraʊnz
froze	frəʊz
fruit	fruːt
fruited	ˈfruːtɪd
fruiting	ˈfruːtɪŋ
fruits	fruːts
frustrate	frʌˈstreɪt
frustrated	frʌˈstreɪtɪd
frustrates	frʌˈstreɪts
frustrating	frʌˈstreɪtɪŋ
fry	fraɪ
frying	ˈfraɪɪŋ
fuck	fʌk
fucked	fʌkt
fucking	ˈfʌkɪŋ
fucks	fʌks
fudge	fʌdʒ
fudged	fʌdʒd
fudges	ˈfʌdʒɪz
fudging	ˈfʌdʒɪŋ
fuel	ˈfjuːəl
fuelled	ˈfjuːəld
fuels	ˈfjuːəlz
fulfil	fʊlˈfɪl
fulfilled	fʊlˈfɪld
fulfilling	fʊlˈfɪlɪŋ
fulfils	fʊlˈfɪlz
fulminate	ˈfʊlmɪneɪt
fulminated	ˈfʊlmɪneɪtɪd
fulminates	ˈfʊlmɪneɪts
fumble	ˈfʌmbl
fumbled	ˈfʌmbld
fumbles	ˈfʌmblz
fumbling	ˈfʌmblɪŋ
fume	fjuːm
fumed	fjuːmd
fumes	fjuːmz
fumigate	ˈfjuːmɪɡeɪt
fumigated	ˈfjuːmɪɡeɪtɪd
fumigates	ˈfjuːmɪɡeɪts
fumigating	ˈfjuːmɪɡeɪtɪŋ
fuming	ˈfjuːmɪŋ
function	ˈfʌŋkʃn
functioned	ˈfʌŋkʃnd
functioning	ˈfʌŋkʃnɪŋ
functions	ˈfʌŋkʃnz
fund	fʌnd
funded	ˈfʌndɪd
funding	ˈfʌndɪŋ
funds	fʌndz
funk	fʌŋk
funked	fʌŋkt
funking	ˈfʌŋkɪŋ
funks	fʌŋks
funnel	ˈfʌnl
funnelled	ˈfʌnld
funnels	ˈfʌnlz
furl	fɜːl
furled	fɜːld
furling	ˈfɜːlɪŋ
furlough	ˈfɜːləʊ
furloughed	ˈfɜːləʊd
furloughing	ˈfɜːləʊɪŋ
furloughs	ˈfɜːləʊz
furls	fɜːlz
furnish	ˈfɜːnɪʃ
furnished	ˈfɜːnɪʃt
furnishes	ˈfɜːnɪʃɪz
furnishing	ˈfɜːnɪʃɪŋ
furrow	ˈfʌrəʊ
furrowed	ˈfʌrəʊd
furrowing	ˈfʌrəʊɪŋ
furrows	ˈfʌrəʊz
further	ˈfɜːðə
furthered	ˈfɜːðəd
furthering	ˈfɜːðərɪŋ
furthers	ˈfɜːðəz
fuse	fjuːz
fused	fjuːzd
fuses	ˈfjuːzɪz
fusing	ˈfjuːzɪŋ
fuss	fʌs
fussed	fʌst
fusses	ˈfʌsɪz
fussing	ˈfʌsɪŋ
gab	ɡæb
gabbed	ɡæbd
gabbing	ˈɡæbɪŋ
gabble	ˈɡæbl
gabbled	ˈɡæbld
gabbles	ˈɡæblz
gabbling	ˈɡæblɪŋ
gabs	ɡæbz
gad	ɡæd
gadded	ˈɡædɪd
gadding	ˈɡædɪŋ
gads	ɡædz
gag	ɡæɡ
gaged	ɡæɡd
gaging	ˈɡæɡɪŋ
gags	ɡæɡz
gain	ɡeɪn
gained	ɡeɪnd
gaining	ˈɡeɪnɪŋ
gains	ɡeɪnz
gainsaid	ˌɡeɪnˈsed
gainsay	ˌɡeɪnˈseɪ
gainsaying	ˌɡeɪnˈseɪɪŋ
gainsays	ˌɡeɪnˈsez
gall	ɡɔːl
galled	ɡɔːld
galling	ˈɡɔːlɪŋ
gallivant	ˈɡælɪvænt
gallivanted	ˈɡælɪvæntɪd
gallivanting	ˈɡælɪvæntɪŋ
gallivants	ˈɡælɪvænts
gallop	ˈɡæləp
galloped	ˈɡæləpt
galloping	ˈɡæləpɪŋ
gallops	ˈɡæləps
galls	ɡɔːlz
galumph	ɡəˈlʌmf
galumphed	ɡəˈlʌmft
galumphing	ɡəˈlʌmfɪŋ
galumphs	ɡəˈlʌmfs
galvanize	ˈɡælvənaɪz
galvanized	ˈɡælvənaɪzd
galvanizes	ˈɡælvənaɪzɪz
galvanizing	ˈɡælvənaɪzɪŋ
gamble	ˈɡæmbl
gambled	ˈɡæmbld
gambles	ˈɡæmblz
gambling	ˈɡæmblɪŋ
gambol	ˈɡæmbl
gambolled	ˈɡæmbld
gambols	ˈɡæmblz
gang	ɡæŋ
ganged	ɡæŋd
ganging	ˈɡæŋɪŋ
gangs	ɡæŋz
gape	ɡeɪp
gaped	ɡeɪpt
gapes	ɡeɪps
gaping	ˈɡeɪpɪŋ
garage	ˈɡærɑːʒ
garaged	ˈɡærɑːʒd
garages	ˈɡærɑːʒɪz
garaging	ˈɡærɑːʒɪŋ
garden	ˈɡɑːdn
gardened	ˈɡɑːdnd
gardening	ˈɡɑːdnɪŋ
gardens	ˈɡɑːdnz
gargle	ˈɡɑːɡl
gargled	ˈɡɑːɡld
gargles	ˈɡɑːɡlz
gargling	ˈɡɑːɡlɪŋ
garland	ˈɡɑːlənd
garlanded	ˈɡɑːləndɪd
garlanding	ˈɡɑːləndɪŋ
garlands	ˈɡɑːləndz
garner	ˈɡɑːnə
garnered	ˈɡɑːnəd
garnering	ˈɡɑːnərɪŋ
garners	ˈɡɑːnəz
garnish	ˈɡɑːnɪʃ
garnished	ˈɡɑːnɪʃt
garnishes	ˈɡɑːnɪʃɪz
garnishing	ˈɡɑːnɪʃɪŋ
garrison	ˈɡærɪsn
garrisoned	ˈɡærɪsnd
garrisoning	ˈɡærɪsnɪŋ
garrisons	ˈɡærɪsnz
garrotte	ɡəˈrɒt
garrotted	ɡəˈrɒtɪd
garrottes	ɡəˈrɒts
garrotting	ɡəˈrɒtɪŋ
gas	ɡæs
gases	ˈɡæsɪz
gash	ɡæʃ
gashed	ɡæʃt
gashes	ˈɡæʃɪz
gashing	ˈɡæʃɪŋ
gasp	ɡɑːsp
gasped	ɡɑːspt
gasping	ˈɡɑːspɪŋ
gasps	ɡɑːsps
gassed	ɡæst
gassing	ˈɡæsɪŋ
gatecrash	ˈɡeɪtkræʃ
gatecrashed	ˈɡeɪtkræʃt
gatecrashes	ˈɡeɪtkræʃɪz
gatecrashing	ˈɡeɪtkræʃɪŋ
gather	ˈɡæðə
gathered	ˈɡæðəd
gathering	ˈɡæðərɪŋ
gathers	ˈɡæðəz
gauge	ɡeɪdʒ
gauged	ɡeɪdʒd
gauges	ˈɡeɪdʒɪz
gauging	ˈɡeɪdʒɪŋ
gave	ɡeɪv
gawk	ɡɔːk
gawked	ɡɔːkt
gawking	ˈɡɔːkɪŋ
gawks	ɡɔːks
gawp	ɡɔːp
gawped	ɡɔːpt
gawping	ˈɡɔːpɪŋ
gawps	ɡɔːps
gaze	ɡeɪz
gazed	ɡeɪzd
gazes	ˈɡeɪzɪz
gazing	ˈɡeɪzɪŋ
gazump	ɡəˈzʌmp
gazumped	ɡəˈzʌmpt
gazumping	ɡəˈzʌmpɪŋ
gazumps	ɡəˈzʌmps
gazunder	ɡəˈzʌndə
gazundered	ɡəˈzʌndəd
gazundering	ɡəˈzʌndərɪŋ
gazunders	ɡəˈzʌndəz
gear	ɡɪə
geared	ɡɪəd
gearing	ˈɡɪərɪŋ
gears	ɡɪəz
gee	dʒiː
geed	dʒiːd
geeing	ˈdʒiːɪŋ
gees	dʒiːz
gel	dʒel
geld	ɡeld
gelded	ˈɡeldɪd
gelding	ˈɡeldɪŋ
gelds	ɡeldz
gelled	dʒeld
gelling	ˈdʒelɪŋ
gels	dʒelz
gen	dʒen
generalize	ˈdʒenrəlaɪz
generalized	ˈdʒenrəlaɪzd
generalizes	ˈdʒenrəlaɪzɪz
generalizing	ˈdʒenrəlaɪzɪŋ
generate	ˈdʒenəreɪt
generated	ˈdʒenəreɪtɪd
generates	ˈdʒenəreɪts
generating	ˈdʒenəreɪtɪŋ
gens	dʒenz
gentrified	ˈdʒentrɪfaɪd
gentrifies	ˈdʒentrɪfaɪz
gentrify	ˈdʒentrɪfaɪ
gentrifying	ˈdʒentrɪfaɪɪŋ
genuflect	ˈdʒenjuflekt
genuflected	ˈdʒenjuflektɪd
genuflecting	ˈdʒenjuflektɪŋ
genuflects	ˈdʒenjuflekts
germinate	ˈdʒɜːmɪneɪt
germinated	ˈdʒɜːmɪneɪtɪd
germinates	ˈdʒɜːmɪneɪts
germinating	ˈdʒɜːmɪneɪtɪŋ
gerrymander	ˈdʒerimændə
gerrymandered	ˈdʒerimændəd
gerrymandering	ˈdʒerimændərɪŋ
gerrymanders	ˈdʒerimændəz
gestate	dʒesˈteɪt
gestated	dʒesˈteɪtɪd
gestates	dʒesˈteɪts
gestating	dʒesˈteɪtɪŋ
gesticulate	dʒeˈstɪkjuleɪt
gesticulated	dʒeˈstɪkjuleɪtɪd
gesticulates	dʒeˈstɪkjuleɪts
gesticulating	dʒeˈstɪkjuleɪtɪŋ
gesture	ˈdʒestʃə
gestured	ˈdʒestʃəd
gestures	ˈdʒestʃəz
gesturing	ˈdʒestʃərɪŋ
get	ɡet
gets	ɡets
gherao	ɡeˈraʊ
gheraoed	ɡeˈraʊd
ghost	ɡəʊst
ghosted	ˈɡəʊstɪd
ghosting	ˈɡəʊstɪŋ
ghosts	ɡəʊsts
gibber	ˈdʒɪbə
gibbered	ˈdʒɪbəd
gibbering	ˈdʒɪbərɪŋ
gibbers	ˈdʒɪbəz
gift	ɡɪft
gifted	ˈɡɪftɪd
gifting	ˈɡɪftɪŋ
gifts	ɡɪfts
giggle	ˈɡɪɡl
