abase	əˈbeɪs
microcomputer	ˈmaɪkrəʊkəmpjuːtə(r)
microcosm	ˈmaɪkrəʊkɒzəm
microclimate	ˈmaɪkrəʊklaɪmət
microelectronics	ˌmaɪkrəʊɪˌlekˈtrɒnɪks
microelectronic	ˌmaɪkrəʊɪˌlekˈtrɒnɪk
microfiche	ˈmaɪkrəʊfiːʃ
microfilm	ˈmaɪkrəʊfɪlm
microdot	ˈmaɪkrəʊdɒt
microgram	ˈmaɪkrəʊɡræm
microinstruction	ˈmaɪkrəʊɪnstrʌkʃn
micromanage	ˈmaɪkrəʊmænɪdʒ
micrometer	maɪˈkrɒmɪtə(r)
micron	ˈmaɪkrɒn
microphone	ˈmaɪkrəfəʊn
microscopy	maɪˈkrɒskəpi
microsecond	ˈmaɪkrəʊsekənd
microprocessor	ˌmaɪkrəʊˈprəʊsesə(r)
microscopic	ˌmaɪkrəˈskɒpɪk
microscopically	ˌmaɪkrəˈskɒpɪkli
microscope	ˈmaɪkrəskəʊp
microwave	ˈmaɪkrəweɪv
middle	ˈmɪdl
mid	ˌem aɪ ˈdiː
midday	ˌmɪdˈdeɪ
midbrain	ˈmɪdbreɪn
middleman	ˈmɪdlmæn
middlemen	ˈmɪdlmen
micturate	ˈmɪktjʊreɪt
micturition	ˌmɪktjuˈrɪʃn
middling	ˈmɪdlɪŋ
middleweight	ˈmɪdlweɪt
microsurgery	ˈmaɪkrəʊsɜːdʒəri
midge	mɪdʒ
midfield	ˈmɪdfiːld
midfielder	ˌmɪdˈfiːldə(r)
midi	ˈmɪdi
midlands	ˈmɪdləndz
Midland	ˈmɪdlənd
midden	ˈmɪdn
middlebrow	ˈmɪdlbraʊ
midriff	ˈmɪdrɪf
midnight	ˈmɪdnaɪt
midst	mɪdst
midget	ˈmɪdʒɪt
midwife	ˈmɪdwaɪf
midwives	ˈmɪdwaɪvz
midtown	ˈmɪdtaʊn
midwifery	ˌmɪdˈwɪfəri
midsummer	ˌmɪdˈsʌmə(r)
midstream	ˌmɪdˈstriːm
midterm	ˌmɪdˈtɜːm
midlife	mɪdˈlaɪf
miffed	mɪft
midwinter	ˌmɪdˈwɪntə(r)
might	maɪt
mightn't	ˈmaɪtnt
midweek	ˌmɪdˈwiːk
midshipman	ˈmɪdʃɪpmən
midshipmen	ˈmɪdʃɪpmən
mien	miːn
mighty	ˈmaɪti
migraine	ˈmiːɡreɪn
migrant	ˈmaɪɡrənt
mightily	ˈmaɪtɪli
migration	maɪˈɡreɪʃn
milady	mɪˈleɪdi
mild	maɪld
mildness	maɪldnəs
mildew	ˈmɪldjuː
mikado	mɪˈkɑːdəʊ
migrate	maɪˈɡreɪt
migratory	ˈmaɪɡrətri
mildewed	ˈmɪldjuːd
mildly	ˈmaɪldli
mileage	ˈmaɪlɪdʒ
midway	ˌmɪdˈweɪ
mile	maɪl
militant	ˈmɪlɪtənt
militancy	ˈmɪlɪtənsi
milepost	ˈmaɪlpəʊst
mike	maɪk
milieu	miːˈljɜː
milieus	miːˈljɜːz
militarism	ˈmɪlɪtərɪzəm
militarist	ˈmɪlɪtərɪst
military	ˈmɪlətri
militate	ˈmɪlɪteɪt
militia	məˈlɪʃə
militiaman	məˈlɪʃəmən
militiamen	məˈlɪʃəmən
milkmaid	ˈmɪlkmeɪd
milking	ˈmɪlkɪŋ
milky	ˈmɪlki
milksop	ˈmɪlksɒp
milkman	ˈmɪlkmən
milkmen	ˈmɪlkmən
millenarian	ˌmɪlɪˈneəriən
miller	ˈmɪlə(r)
millet	ˈmɪlɪt
milestone	ˈmaɪlstəʊn
millibar	ˈmɪlibɑː(r)
milligram	ˈmɪliɡræm
militarize	ˈmɪlɪtəraɪz
militarization	ˌmɪlɪtəraɪˈzeɪʃn
mill	mɪl
milling	ˈmɪlɪŋ
millinery	ˈmɪlɪnəri
millionth	ˈmɪljənθ
million	ˈmɪljən
millipede	ˈmɪlɪpiːd
millennium	mɪˈleniəm
millennia	mɪˈleniə
milk	mɪlk
millionairess	ˌmɪljəˈneərəs
millionaire	ˌmɪljəˈneə(r)
millpond	ˈmɪlpɒnd
millisecond	ˈmɪlisekənd
millstone	ˈmɪlstəʊn
millivolt	ˈmɪlivəʊlt
milord	mɪˈlɔːd
mimic	ˈmɪmɪk
mimicry	ˈmɪmɪkri
milliner	ˈmɪlɪnə(r)
millstream	ˈmɪlstriːm
mime	maɪm
mimesis	mɪˈmiːsɪs
minaret	ˌmɪnəˈret
mincing	ˈmɪnsɪŋ
mimosa	mɪˈməʊzə
mince	mɪns
mimetic	mɪˈmetɪk
minded	ˈmaɪndɪd
minder	ˈmaɪndə(r)
mindful	ˈmaɪndfl
mineral	ˈmɪnərəl
minatory	ˈmɪnətəri
mine	maɪn
mineralogy	ˌmɪnəˈrælədʒi
mineralogical	ˌmɪnərəˈlɒdʒɪkl
mingy	ˈmɪndʒi
miniature	ˈmɪnətʃə(r)
mini	ˈmɪni
mineralogist	ˌmɪnəˈrælədʒɪst
minestrone	ˌmɪnəˈstrəʊni
minesweeper	ˈmaɪnswiːpə(r)
mincemeat	ˈmɪnsmiːt
minibus	ˈmɪnibʌs
minicab	ˈmɪnikæb
mindless	ˈmaɪndləs
mindlessly	ˈmaɪndləsli
miniaturist	ˈmɪnɪtʃərɪst
minim	ˈmɪnɪm
mincer	ˈmɪnsə(r)
minimalist	ˈmɪnɪməlɪst
mindset	ˈmaɪndset
miner	ˈmaɪnə(r)
miniaturize	ˈmɪnətʃəraɪz
miniaturization	ˌmɪnətʃəraɪˈzeɪʃn
mingle	ˈmɪŋɡl
minicomputer	ˈmɪnikəmpjuːtə(r)
minimal	ˈmɪnɪməl
minimum	ˈmɪnɪməm
minimize	ˈmɪnɪmaɪz
minimization	ˌmɪnɪmaɪˈzeɪʃn
minion	ˈmɪniən
mind	maɪnd
minor	ˈmaɪnə(r)
ministerial	ˌmɪnɪˈstɪəriəl
mining	ˈmaɪnɪŋ
minister	ˈmɪnɪstə(r)
minnow	ˈmɪnəʊ
miniseries	ˈmɪnisɪəriːz
ministry	ˈmɪnɪstri
minstrel	ˈmɪnstrəl
ministering	ˈmɪnɪstərɪŋ
mint	mɪnt
miniskirt	ˈmɪniskɜːt
minke	ˈmɪŋki
minted	ˈmɪntɪd
mink	mɪŋk
minty	ˈmɪnti
minivan	ˈmɪnivæn
minus	ˈmaɪnəs
minuet	ˌmɪnjuˈet
minster	ˈmɪnstə(r)
minute	ˈmɪnɪt
minuscule	ˈmɪnəskjuːl
minority	maɪˈnɒrəti
ministrations	ˌmɪnɪˈstreɪʃnz
minuteman	ˈmɪnɪtmæn
Minutemen	ˈmɪnɪtmen
miraculous	mɪˈrækjələs
miraculously	mɪˈrækjələsli
mired	ˈmaɪəd
mire	ˈmaɪə(r)
minx	mɪŋks
minutiae	maɪˈnjuːʃiiː
miracle	ˈmɪrəkl
mirage	ˈmɪrɑːʒ
mirrored	ˈmɪrəd
mirth	mɜːθ
mirror	ˈmɪrə(r)
misadventure	ˌmɪsədˈventʃə(r)
misaligned	ˌmɪsəˈlaɪnd
misalignment	ˌmɪsəˈlaɪnmənt
mis	ˌem aɪ ˈes
mirthless	ˈmɜːθləs
mirthlessly	ˈmɜːθləsli
misanthropic	ˌmɪsənˈθrɒpɪk
misanthropy	mɪˈsænθrəpi
misapply	ˌmɪsəˈplaɪ
misappropriate	ˌmɪsəˈprəʊprieɪt
misappropriation	ˌmɪsəˌprəʊpriˈeɪʃn
misanthrope	ˈmɪsənθrəʊp
misapplication	ˌmɪsæplɪˈkeɪʃn
misbegotten	ˌmɪsbɪˈɡɒtn
misapprehension	ˌmɪsæprɪˈhenʃn
misbehave	ˌmɪsbɪˈheɪv
misbehaviour	ˌmɪsbɪˈheɪvjə(r)
miscast	ˌmɪsˈkɑːst
miscalculate	ˌmɪsˈkælkjuleɪt
miscalculation	ˌmɪskælkjuˈleɪʃn
miscellanea	ˌmɪsəˈleɪniə
miscarry	ˌmɪsˈkæri
miscarriage	ˈmɪskærɪdʒ
miscellaneous	ˌmɪsəˈleɪniəs
miscellany	mɪˈseləni
mischief	ˈmɪstʃɪf
miscible	ˈmɪsəbl
mischance	ˌmɪsˈtʃɑːns
mischievous	ˈmɪstʃɪvəs
mischievously	ˈmɪstʃɪvəsli
misconceive	ˌmɪskənˈsiːv
misconceived	ˌmɪskənˈsiːvd
misconception	ˌmɪskənˈsepʃn
misconstruction	ˌmɪskənˈstrʌkʃn
miscount	ˌmɪsˈkaʊnt
misconstrue	ˌmɪskənˈstruː
miscreant	ˈmɪskriənt
misconduct	ˌmɪsˈkɒndʌkt
misdeed	ˌmɪsˈdiːd
misdiagnose	mɪsˈdaɪəɡnəʊz
misdiagnoses	ˌmɪsdaɪəɡˈnəʊsiːz
misdiagnosis	ˌmɪsdaɪəɡˈnəʊsɪs
misdial	ˌmɪsˈdaɪəl
misdirect	ˌmɪsdəˈrekt
misdirection	ˌmɪsdəˈrekʃn
misdirection	ˌmɪsdaɪˈrekʃn
miser	ˈmaɪzə(r)
miserable	ˈmɪzrəbl
miserably	ˈmɪzrəbli
miserly	ˈmaɪzəli
misery	ˈmɪzəri
misfile	ˌmɪsˈfaɪl
misfire	ˌmɪsˈfaɪə(r)
misfortune	ˌmɪsˈfɔːtʃuːn
misfit	ˈmɪsfɪt
misgovern	ˌmɪsˈɡʌvn
misgovernment	ˌmɪsˈɡʌvənmənt
misgiving	ˌmɪsˈɡɪvɪŋ
mishap	ˈmɪshæp
mishear	ˌmɪsˈhɪə(r)
misheard	ˌmɪsˈhɜːd
mishmash	ˈmɪʃmæʃ
misguided	ˌmɪsˈɡaɪdɪd
misguidedly	ˌmɪsˈɡaɪdɪdli
mishandle	ˌmɪsˈhændl
mishit	ˌmɪsˈhɪt
misinform	ˌmɪsɪnˈfɔːm
misinformation	ˌmɪsɪnfəˈmeɪʃn
misjudge	ˌmɪsˈdʒʌdʒ
misjudgement	ˌmɪsˈdʒʌdʒmənt
misinterpret	ˌmɪsɪnˈtɜːprɪt
misinterpretation	ˌmɪsɪntɜːprɪˈteɪʃn
mislay	ˌmɪsˈleɪ
mislaid	ˌmɪsˈleɪd
misleading	ˌmɪsˈliːdɪŋ
misleadingly	ˌmɪsˈliːdɪŋli
mislead	ˌmɪsˈliːd
misled	ˌmɪsˈled
mismanage	ˌmɪsˈmænɪdʒ
mismanagement	ˌmɪsˈmænɪdʒmənt
mismatch	ˈmɪsmætʃ
misname	ˌmɪsˈneɪm
misnomer	ˌmɪsˈnəʊmə(r)
miso	ˈmiːsəʊ
misogynist	mɪˈsɒdʒɪnɪst
misogynistic	mɪˌsɒdʒɪˈnɪstɪk
misplay	ˌmɪsˈpleɪ
misplaced	ˌmɪsˈpleɪst
misplace	ˌmɪsˈpleɪs
mispronounce	ˌmɪsprəˈnaʊns
mispronunciation	ˌmɪsprənʌnsiˈeɪʃn
misquote	ˌmɪsˈkwəʊt
misquotation	ˌmɪskwəʊˈteɪʃn
misprint	ˈmɪsprɪnt
misread	ˌmɪsˈriːd
misread	ˌmɪsˈred
misreport	ˌmɪsrɪˈpɔːt
miss	mɪs
misrule	ˌmɪsˈruːl
missal	ˈmɪsl
misrepresent	ˌmɪsˌreprɪˈzent
misrepresentation	ˌmɪsˌreprɪzenˈteɪʃn
misshapen	ˌmɪsˈʃeɪpən
misspend	ˌmɪsˈspend
misspent	ˌmɪsˈspent
missive	ˈmɪsɪv
mission	ˈmɪʃn
missionary	ˈmɪʃənri
missing	ˈmɪsɪŋ
misspell	ˌmɪsˈspel
misspelling	ˌmɪsˈspelɪŋ
mistake	mɪˈsteɪk
missile	ˈmɪsaɪl
mister	ˈmɪstə(r)
mistime	ˌmɪsˈtaɪm
mistiming	ˌmɪsˈtaɪmɪŋ
missy	ˈmɪsi
mistreat	ˌmɪsˈtriːt
mistreatment	ˌmɪsˈtriːtmənt
mistrial	ˌmɪsˈtraɪəl
misuse	ˌmɪsˈjuːs
misunderstood	ˌmɪsʌndəˈstʊd
missus	ˈmɪsɪz
mist	mɪst
mistletoe	ˈmɪsltəʊ
misunderstanding	ˌmɪsʌndəˈstændɪŋ
mite	maɪt
misstep	ˌmɪsˈstep
mitt	mɪt
mistaken	mɪˈsteɪkən
mistakenly	mɪˈsteɪkənli
mix	mɪks
mo	ˌem ˈəʊ
moan	məʊn
moaner	məʊnə(r)
mob	mɒb
mistook	mɪˈstʊk
mitre	ˈmaɪtə(r)
moat	məʊt
mistral	ˈmɪstrəl
mitigating	ˈmɪtɪɡeɪtɪŋ
mistress	ˈmɪstrəs
mixture	ˈmɪkstʃə(r)
mitochondrion	ˌmaɪtəʊˈkɒndriən
mitochondria	ˌmaɪtəʊˈkɒndriə
mitochondrial	ˌmaɪtəʊˈkɒndriəl
mocking	ˈmɒkɪŋ
mockingly	ˈmɒkɪŋli
mitigation	ˌmɪtɪˈɡeɪʃn
mizzen	ˈmɪzn
modal	ˈməʊdl
misunderstand	ˌmɪsʌndəˈstænd
misunderstood	ˌmɪsʌndəˈstʊd
mobile	ˈməʊbaɪl
mistrust	ˌmɪsˈtrʌst
mode	məʊd
mnemonic	nɪˈmɒnɪk
mitigate	ˈmɪtɪɡeɪt
mitten	ˈmɪtn
mitosis	maɪˈtəʊsɪs
mixer	ˈmɪksə(r)
mixed	mɪkst
mock	mɒk
mocker	mɒkə(r)
moderate	ˈmɒdərət
model	ˈmɒdl
misty	ˈmɪsti
mod	ˌem əʊ ˈdiː
moderato	ˌmɒdəˈrɑːtəʊ
moderator	ˈmɒdəreɪtə(r)
mobster	ˈmɒbstə(r)
modeller	ˈmɒdələ(r)
moccasin	ˈmɒkəsɪn
mockers	ˈmɒkəz
mobilize	ˈməʊbəlaɪz
mobilization	ˌməʊbɪlaɪˈzeɪʃn
modern	ˈmɒdn
moderately	ˈmɒdərətli
moa	ˈməʊə
moderation	ˌmɒdəˈreɪʃn
modernity	məˈdɜːnəti
modernism	ˈmɒdənɪzəm
modernist	ˈmɒdənɪst
mocha	ˈmɒkə
modesty	ˈmɒdəsti
modifier	ˈmɒdɪfaɪə(r)
modify	ˈmɒdɪfaɪ
mockery	ˈmɒkəri
modification	ˌmɒdɪfɪˈkeɪʃn
module	ˈmɒdjuːl
modernize	ˈmɒdənaɪz
modernization	ˌmɒdənaɪˈzeɪʃn
modernistic	ˌmɒdəˈnɪstɪk
mobility	məʊˈbɪləti
modelling	ˈmɒdəlɪŋ
modality	məʊˈdæləti
modem	ˈməʊdem
modish	ˈməʊdɪʃ
mohair	ˈməʊheə(r)
moisten	ˈmɔɪsn
moisturize	ˈmɔɪstʃəraɪz
moisturizer	ˈmɔɪstʃəraɪze(r)
modular	ˈmɒdjələ(r)
modicum	ˈmɒdɪkəm
modulate	ˈmɒdjuleɪt
modulation	ˌmɒdjuˈleɪʃn
modest	ˈmɒdɪst
modestly	ˈmɒdɪstli
moire	mwɑː(r)
moisture	ˈmɔɪstʃə(r)
molar	ˈməʊlə(r)
mold	məʊld
molding	ˈməʊldɪŋ
moldy	ˈməʊldi
molest	məˈlest
molestation	ˌmɒleˈsteɪʃn
moleskin	ˈməʊlskɪn
mollusc	ˈmɒləsk
mole	məʊl
molecule	ˈmɒlɪkjuːl
molecular	məˈlekjələ(r)
moll	mɒl
moist	mɔɪst
moistness	mɔɪstnəs
mogul	ˈməʊɡl
molder	ˈməʊldə(r)
mollycoddle	ˈmɒlikɒdl
molasses	məˈlæsɪz
molybdenum	məˈlɪbdənəm
mom	mɒm
moment	ˈməʊmənt
mojo	ˈməʊdʒəʊ
molehill	ˈməʊlhɪl
momma	ˈmɒmə
mommy	ˈmɒmi
monad	ˈmɒnæd
momentum	məˈmentəm
molten	ˈməʊltən
momentary	ˈməʊməntri
moggie	ˈmɒɡi
mollify	ˈmɒlɪfaɪ
molt	məʊlt
molly	ˈmɒli
momentous	məˈmentəs
monastic	məˈnæstɪk
monarchy	ˈmɒnəki
monarchical	məˈnɑːkɪkl
monarchist	ˈmɒnəkɪst
monetarist	ˈmʌnɪtərɪst
moneyed	ˈmʌnid
monasticism	məˈnæstɪsɪzəm
monarch	ˈmɒnək
monastery	ˈmɒnəstri
momentarily	ˈməʊməntrəli
money	ˈmʌni
monetarism	ˈmʌnɪtərɪzəm
moneybags	ˈmʌnibæɡz
mongol	ˈmɒŋɡl
mongoose	ˈmɒŋɡuːs
mongooses	ˈmɒŋɡuːsɪz
monism	ˈmɒnɪzəm
monitor	ˈmɒnɪtə(r)
moniker	ˈmɒnɪkə(r)
mongrel	ˈmʌŋɡrəl
monk	mʌŋk
monkey	ˈmʌŋki
mono	ˈmɒnəʊ
monetary	ˈmʌnɪtri
moneylender	ˈmʌnilendə(r)
moneymaker	ˈmʌnimeɪkə(r)
moneymaking	ˈmʌnimeɪkɪŋ
monocle	ˈmɒnəkl
monochrome	ˈmɒnəkrəʊm
monochromatic	ˌmɒnəkrəˈmætɪk
monocotyledon	ˌmɒnəʊˌkɒtɪˈliːdn
monocyte	ˈmɒnəsaɪt
monoculture	ˈmɒnəkʌltʃə(r)
monogamy	məˈnɒɡəmi
monogamous	məˈnɒɡəməs
monkish	ˈmʌŋkɪʃ
monogram	ˈmɒnəɡræm
monodrama	ˈmɒnədrɑːmə
monoglot	ˈmɒnəɡlɒt
monograph	ˈmɒnəɡrɑːf
monolingual	ˌmɒnəˈlɪŋɡwəl
monologue	ˈmɒnəlɒɡ
monomania	ˌmɒnəˈmeɪniə
mononucleosis	ˌmɒnəʊˌnjuːkliˈəʊsɪs
monophonic	ˌmɒnəˈfɒnɪk
monolith	ˈmɒnəlɪθ
monolithic	ˌmɒnəˈlɪθɪk
monophthong	ˈmɒnəfθɒŋ
monophthongal	ˌmɒnəfˈθɒŋl
monoplane	ˈmɒnəpleɪn
monopolist	məˈnɒpəlɪst
monopolistic	məˌnɒpəˈlɪstɪk
monorail	ˈmɒnəʊreɪl
monopoly	məˈnɒpəli
monopolize	məˈnɒpəlaɪz
monopolization	məˌnɒpəlaɪˈzeɪʃn
monosyllabic	ˌmɒnəsɪˈlæbɪk
monosyllable	ˈmɒnəsɪləbl
monotone	ˈmɒnətəʊn
monotheism	ˈmɒnəʊθiɪzəm
monotheist	ˈmɒnəʊθiɪst
monotonous	məˈnɒtənəs
monotonously	məˈnɒtənəsli
monotype	ˈmɒnətaɪp
monotreme	ˈmɒnətriːm
monotony	məˈnɒtəni
monster	ˈmɒnstə(r)
monstrous	ˈmɒnstrəs
monstrously	ˈmɒnstrəsli
montage	ˌmɒnˈtɑːʒ
monthly	ˈmʌnθli
monstrosity	mɒnˈstrɒsəti
month	mʌnθ
monument	ˈmɒnjumənt
monumental	ˌmɒnjuˈmentl
monsoon	ˌmɒnˈsuːn
monsignor	mɒnˈsiːnjə(r)
moonlight	ˈmuːnlaɪt
moo	muː
moonbeam	ˈmuːnbiːm
montane	ˈmɒnteɪn
monumentally	ˌmɒnjuˈmentəli
moonless	ˈmuːnləs
moody	ˈmuːdi
moodily	ˈmuːdɪli
mooch	muːtʃ
moonscape	ˈmuːnskeɪp
mood	muːd
moonstruck	ˈmuːnstrʌk
mooring	ˈmɔːrɪŋ
mop	mɒp
moped	ˈməʊped
moraine	məˈreɪn
moor	mɔː(r)
moonlit	ˈmuːnlɪt
moorhen	ˈmɔːhen
mor	ˌem əʊ ˈɑː(r)
moonstone	ˈmuːnstəʊn
moquette	mɒˈket
moot	muːt
moonshine	ˈmuːnʃaɪn
moral	ˈmɒrəl
mope	məʊp
morale	məˈrɑːl
moose	muːs
moralist	ˈmɒrəlɪst
moralize	ˈmɒrəlaɪz
morally	ˈmɒrəli
morass	məˈræs
moratorium	ˌmɒrəˈtɔːriəm
moratoria	ˌmɒrəˈtɔːriə
morbid	ˈmɔːbɪd
morbidity	mɔːˈbɪdəti
more	mɔː(r)
mordant	ˈmɔːdnt
mordantly	ˈmɔːdntli
morel	məˈrel
morello	məˈreləʊ
mordent	ˈmɔːdənt
moppet	ˈmɒpɪt
mores	ˈmɔːreɪz
moreover	mɔːrˈəʊvə(r)
moribund	ˈmɒrɪbʌnd
moorland	ˈmɔːlənd
moron	ˈmɔːrɒn
moronic	məˈrɒnɪk
moonwalk	ˈmuːnwɔːk
morpheme	ˈmɔːfiːm
morocco	məˈrɒkəʊ
moralistic	ˌmɒrəˈlɪstɪk
morgue	mɔːɡ
morganatic	ˌmɔːɡəˈnætɪk
morphine	ˈmɔːfiːn
morality	məˈræləti
moray	mɒˈreɪ
morning	ˈmɔːnɪŋ
moon	muːn
mortal	ˈmɔːtl
mortar	ˈmɔːtə(r)
mortgage	ˈmɔːɡɪdʒ
mortgagee	ˌmɔːɡɪˈdʒiː
morose	məˈrəʊs
morosely	məˈrəʊsli
morphology	mɔːˈfɒlədʒi
morphological	ˌmɔːfəˈlɒdʒɪkl
morn	mɔːn
mortify	ˈmɔːtɪfaɪ
mortification	ˌmɔːtɪfɪˈkeɪʃn
morph	mɔːf
mortise	ˈmɔːtɪs
morsel	ˈmɔːsl
mortally	ˈmɔːtəli
mortgagor	ˈmɔːɡɪdʒɔː(r)
mortuary	ˈmɔːtʃəri
mosaic	məʊˈzeɪɪk
mosque	mɒsk
most	məʊst
mosquito	məˈskiːtəʊ
mother	ˈmʌðə(r)
moss	mɒs
motet	məʊˈtet
mote	məʊt
mostly	ˈməʊstli
mothball	ˈmɒθbɔːl
mortality	mɔːˈtæləti
motel	məʊˈtel
motherfucker	ˈmʌðəfʌkə(r)
motherboard	ˈmʌðəbɔːd
motherland	ˈmʌðəlænd
mossy	ˈmɒsi
mot	ˌem əʊ ˈtiː
motherless	ˈmʌðələs
mosey	ˈməʊzi
motif	məʊˈtiːf
motion	ˈməʊʃn
motionless	ˈməʊʃnləs
motherhood	ˈmʌðəhʊd
moth	mɒθ
motley	ˈmɒtli
motorbike	ˈməʊtəbaɪk
motocross	ˈməʊtəʊkrɒs
motherly	ˈmʌðəli
motorcade	ˈməʊtəkeɪd
motorboat	ˈməʊtəbəʊt
motoneuron	ˌməʊtəˈnjʊərɒn
mothering	ˈmʌðərɪŋ
motorcycle	ˈməʊtəsaɪkl
motorcycling	ˈməʊtəsaɪklɪŋ
motorist	ˈməʊtərɪst
motorway	ˈməʊtəweɪ
motto	ˈmɒtəʊ
motoring	ˈməʊtərɪŋ
mottled	ˈmɒtld
motivate	ˈməʊtɪveɪt
motive	ˈməʊtɪv
motormouth	ˈməʊtəmaʊθ
motormouths	ˈməʊtəmaʊðz
mould	məʊld
moult	məʊlt
motor	ˈməʊtə(r)
mound	maʊnd
mouflon	ˈmuːflɒn
mount	maʊnt
mountaineer	ˌmaʊntəˈnɪə(r)
mouldy	ˈməʊldi
moulding	ˈməʊldɪŋ
mountain	ˈmaʊntən
mountaineering	ˌmaʊntəˈnɪərɪŋ
motte	mɒt
moulder	ˈməʊldə(r)
mountainside	ˈmaʊntənsaɪd
mountaintop	ˈmaʊntəntɒp
mountebank	ˈmaʊntɪbæŋk
mounting	ˈmaʊntɪŋ
mounted	ˈmaʊntɪd
mourn	mɔːn
mourner	ˈmɔːnə(r)
mournful	ˈmɔːnfl
mournfully	ˈmɔːnfəli
motorized	ˈməʊtəraɪzd
mouth	maʊθ
mouths	maʊðz
mousy	ˈmaʊsi
mouse	maʊs
mice	maɪs
mountainous	ˈmaʊntənəs
motorcyclist	ˈməʊtəsaɪklɪst
mousse	muːs
mouthpiece	ˈmaʊθpiːs
mouser	ˈmaʊsə(r)
mourning	ˈmɔːnɪŋ
moussaka	muːˈsɑːkə
movable	ˈmuːvəbl
mover	ˈmuːvə(r)
movement	ˈmuːvmənt
mouthwash	ˈmaʊθwɒʃ
mousetrap	ˈmaʊstræp
movie	ˈmuːvi
moviegoer	ˈmuːviɡəʊə(r)
moxie	ˈmɒksi
mow	məʊ
mown	məʊn
move	muːv
moving	ˈmuːvɪŋ
movingly	ˈmuːvɪŋli
mouthy	ˈmaʊθi
mouthful	ˈmaʊθfʊl
mower	ˈməʊə(r)
much	mʌtʃ
mozzarella	ˌmɒtsəˈrelə
muck	mʌk
mucker	ˈmʌkə(r)
muchness	ˈmʌtʃnəs
mucky	ˈmʌki
mu	mjuː
muckraking	ˈmʌkreɪkɪŋ
moustache	məˈstɑːʃ
mud	mʌd
mucus	ˈmjuːkəs
mucous	ˈmjuːkəs
muddle	ˈmʌdl
muddled	ˈmʌdld
muddy	ˈmʌdi
muddling	ˈmʌdlɪŋ
mudflat	ˈmʌdflæt
muff	mʌf
mudslide	ˈmʌdslaɪd
muesli	ˈmjuːzli
muffin	ˈmʌfɪn
muffled	ˈmʌfld
muezzin	muːˈezɪn
muffler	ˈmʌflə(r)
muffle	ˈmʌfl
mufti	ˈmʌfti
mugger	ˈmʌɡə(r)
mudskipper	ˈmʌdskɪpə(r)
muggy	ˈmʌɡi
mulch	mʌltʃ
muggins	ˈmʌɡɪnz
mulberry	ˈmʌlbəri
mugwump	ˈmʌɡwʌmp
mugging	ˈmʌɡɪŋ
mukluk	ˈmʌklʌk
mulatto	mjuˈlætəʊ
mule	mjuːl
muleteer	ˌmjuːləˈtɪə(r)
mull	mʌl
mulish	ˈmjuːlɪʃ
mullah	ˈmʌlə
mulled	mʌld
mujahideen	ˌmuːdʒəhəˈdiːn
mudguard	ˈmʌdɡɑːd
mullion	ˈmʌliən
mullioned	ˈmʌliənd
mulligatawny	ˌmʌlɪɡəˈtɔːni
mullet	ˈmʌlɪt
mug	mʌɡ
multichannel	ˈmʌltitʃænl
multicultural	ˌmʌltiˈkʌltʃərəl
multidisciplinary	ˌmʌltidɪsəˈplɪnəri
multiculturalism	ˌmʌltiˌkʌltʃərəlɪzəm
multigrade	ˈmʌltiɡreɪd
multigrain	ˈmʌltiɡreɪn
multifaceted	ˌmʌltiˈfæsɪtɪd
multifarious	ˌmʌltɪˈfeəriəs
multidimensional	ˌmʌltidaɪˈmenʃənl
multilateral	ˌmʌltiˈlætərəl
multilateralism	ˌmʌltiˈlætərəlɪzəm
multimedia	ˌmʌltiˈmiːdiə
multinational	ˌmʌltiˈnæʃnəl
multilingual	ˌmʌltiˈlɪŋɡwəl
multiple	ˈmʌltɪpl
multifunctional	ˌmʌltiˈfʌŋkʃənl
multimillionaire	ˌmʌltimɪljəˈneə(r)
multiparty	ˌmʌltiˈpɑːti
multiply	ˈmʌltɪplaɪ
multiplier	ˈmʌltɪplaɪə(r)
multiplicity	ˌmʌltɪˈplɪsəti
multiplication	ˌmʌltɪplɪˈkeɪʃn
multiplex	ˈmʌltɪpleks
multiprocessor	ˌmʌltiˈprəʊsesə(r)
multiracial	ˌmʌltiˈreɪʃl
multitasking	ˌmʌltiˈtɑːskɪŋ
multitudinous	ˌmʌltɪˈtjuːdɪnəs
multitude	ˈmʌltɪtjuːd
mum	mʌm
mummer	ˈmʌmə(r)
mummify	ˈmʌmɪfaɪ
munchies	ˈmʌntʃɪz
multitrack	ˈmʌltitræk
municipal	mjuːˈnɪsɪpl
munch	mʌntʃ
multivitamin	ˌmʌltiˈvɪtəmɪn
mundane	mʌnˈdeɪn
municipality	mjuːˌnɪsɪˈpæləti
mumps	mʌmps
mumble	ˈmʌmbl
munificent	mjuːˈnɪfɪsnt
munificence	mjuːˈnɪfɪsns
muntjac	ˈmʌntdʒæk
murder	ˈmɜːdə(r)
murderess	ˈmɜːdəres
murderous	ˈmɜːdərəs
murderously	ˈmɜːdərəsli
mural	ˈmjʊərəl
murderer	ˈmɜːdərə(r)
murk	mɜːk
murmur	ˈmɜːmə(r)
munitions	mjuːˈnɪʃnz
munition	mjuːˈnɪʃn
mummy	ˈmʌmi
muscat	ˈmʌskæt
muscadet	ˈmʌskədeɪ
muse	mjuːz
muscle	ˈmʌsl
musculature	ˈmʌskjələtʃə(r)
mush	mʌʃ
muscular	ˈmʌskjələ(r)
muscatel	ˌmʌskəˈtel
